
"Ocupa&ccedil;&otilde;es em geral";"Quantidade"
"PESSOAL DE SA&Uacute;DE - N&Iacute;VEL SUPERIOR";5092
"ANESTESISTA";46
"M&eacute;dico Anestesiologista";46
" ASSISTENTE SOCIAL";200
"Assistente Social";200
" BIOQU&Iacute;MICO/FARMAC&Ecirc;UTICO";176
"Farmac&ecirc;utico";176
" CIRURGI&Atilde;O GERAL";37
"M&eacute;dico Cirurgi&atilde;o Geral";37
" CL&Iacute;NICO GERAL";509
"M&eacute;dico Cl&iacute;nico";508
"M&eacute;dico Generalista Alopata";1
" ENFERMEIRO";1119
"Outros enfermeiros";8
"Enfermeiro";1018
"Enfermeiro auditor";7
"Enfermeiro da estrat&eacute;gia de sa&uacute;de da fam&iacute;lia";64
"Enfermeiro de terapia intensiva";6
"Enfermeiro do trabalho";8
"Enfermeiro nefrologista";4
"Enfermeiro obst&eacute;trico";4
" FISIOTERAPEUTA";583
"Fisioterapeuta geral";582
"Fisioterapeuta neurofuncional";1
" FONOAUDI&Oacute;LOGO";111
"Fonoaudi&oacute;logo";111
" GINECO OBSTETRA";119
"M&eacute;dico Ginecologista Obstetra";119
" M&Eacute;DICO DE FAM&Iacute;LIA";47
"M&eacute;dico da estrat&eacute;gia de Sa&uacute;de da Fam&iacute;lia";43
"M&eacute;dico de fam&iacute;lia e comunidade";4
" NUTRICIONISTA";155
"Nutricionista";155
" ODONT&Oacute;LOGO";593
"Cirurgi&atilde;o dentista - auditor";1
"Cirurgi&atilde;o dentista - cl&iacute;nico geral";477
"Cirurgi&atilde;o dentista - dent&iacute;stica";3
"Cirurgi&atilde;o dentista - endodontista";28
"Cirurgi&atilde;o dentista - estomatologista";1
"Cirurgi&atilde;o dentista - odontologia para pacientes co";5
"Cirurgi&atilde;o dentista - odontopediatra";14
"Cirurgi&atilde;o dentista - ortopedista e ortodontista";14
"Cirurgi&atilde;o dentista - periodontista";5
"Cirurgi&atilde;o dentista - protesista";11
"Cirurgi&atilde;o dentista - protesi&oacute;logo bucomaxilofacial";1
"Cirurgi&atilde;o dentista - radiologista";6
"Cirurgi&atilde;o dentista - traumatologista bucomaxilofac";15
