Código;Descrição;Dotação Inicial;Alt. de Dotação;Dotação Atualizada;Valor Empenhado;Valor Liquidado;Valor Pago
3.1.90.03.01 ;PESSOAL CIVIL;0,00;0,00;0,00;390.000,00;338.144,47;338.144,47
3.1.90.04.11 ;SALÁRIOS - CONTRATO TEMPORÁRIO;0,00;0,00;0,00;41.322.732,01;41.322.732,01;41.322.732,01
3.1.90.11.01 ;VENCIMENTOS E SALÁRIOS;0,00;0,00;0,00;413.877.599,42;399.144.255,60;399.144.255,60
3.1.90.11.07 ;ABONO DE PERMANÊNCIA;0,00;0,00;0,00;0,00;0,00;0,00
3.1.90.11.42 ;FÉRIAS INDENIZADAS, VENCIDAS E PROPORCIONAIS;0,00;0,00;0,00;39.020,22;39.020,22;39.020,22
3.1.90.13.01 ;FGTS;0,00;0,00;0,00;72.987,30;72.196,50;61.283,79
3.1.90.13.02 ;CONTRIBUIÇÕES PREVIDENCIÁRIAS - INSS;0,00;0,00;0,00;17.206.910,93;15.113.912,69;15.113.912,69
3.1.90.94.99 ;OUTRAS INDENIZAÇÕES E RESTITUIÇÕES TRABALHISTAS;0,00;0,00;0,00;1.066.133,82;1.066.133,82;1.040.102,37
3.1.90.96.99 ;OUTROS RESSARCIMENTOS DE DESPESAS DE PESSOAL REQUISITADO;0,00;0,00;0,00;3.721.047,14;3.329.622,68;3.114.061,72
3.1.91.13.08 ;CONTRIBUIÇÕES PREVIDENCIÁRIAS - RPPS - PESSOAL ATIVO - PLANO;0,00;0,00;0,00;58.242.021,71;58.242.021,70;58.242.021,70
3.1.91.13.99 ;OUTRAS OBRIGAÇÕES PATRONAIS - INTRA OFSS;0,00;0,00;0,00;13.500.000,00;13.284.404,87;13.284.404,87
3.2.90.21.01 ;JUROS DA DÍVIDA CONTRATUAL;0,00;0,00;0,00;4.585.149,45;4.573.999,87;4.573.999,87
3.2.91.21.00 ;JUROS SOBRE A DÍVIDA POR CONTRATO - INTRA OFSS;21.750.000,00;14.509.594,71;36.259.594,71;34.800.336,59;34.800.336,59;34.800.336,59
3.3.50.41.00 ;CONTRIBUIÇÕES;0,00;338.557,81;338.557,81;338.557,81;257.184,80;257.184,80
3.3.71.70.00 ;RATEIO PELA PARTICIPAÇÃO EM CONSÓRCIO PÚBLICO;353.500,56;0,00;353.500,56;353.500,56;314.222,72;314.222,72
3.3.90.08.01 ;AUXÍLIO FUNERAL;0,00;0,00;0,00;270.158,67;270.158,67;270.158,67
3.3.90.08.56 ;SALÁRIO-FAMÍLIA;0,00;0,00;0,00;221.517,57;216.293,18;216.293,18
3.3.90.08.99 ;OUTROS BENEFÍCIOS ASSISTENCIAIS;0,00;0,00;0,00;110.056,00;109.256,00;109.256,00
