Município,UF,Índice de Progresso Social,ÁREA km²,POPULAÇÃO 2022,PIB PER CAPITA,Necessidades Humanas Básicas,Fundamentos do Bem-estar,Oportunidades,Nutrição e Cuidados Médicos Básicos,Água e Saneamento,Moradia,Segurança Pessoal,Acesso ao Conhecimento Básico,Acesso à Informação e Comunicação,Saúde e Bem-estar,Qualidade do Meio Ambiente,Direitos Individuais,Liberdades Individuais e de Escolha,Inclusão Social,Acesso à Educação Superior,Cobertura Vacinal (Poliomielite),Hospitalizações por Condições Sensíveis à Atenção Primária,Mortalidade Ajustada por Condições Sensíveis à Atenção Primária,Mortalidade Infantil até 5 Anos,Subnutrição,Abastecimento de Água via Rede de Distribuição,Esgotamento Sanitário Adequado,Índice de Abastecimento de Água,Índice de Perdas de Água na Distribuição,Domicílios com Coleta de Resíduos Adequada,Domicílios com Iluminação Elétrica Adequada,Domicílios com Paredes Adequadas,Domicílios com Piso Adequado,Assassinatos de Jovens,Assassinatos de Mulheres,Homicídios,Mortes por Acidente de Transporte,Abandono no Ensino Fundamental,Abandono no Ensino Médio,Evasão no Ensino Médio,Distorção Idade-Série no Ensino Médio,Ideb Ensino Fundamental,Reprovação Escolar no Ensino Médio,Cobertura de Internet Móvel (4G/5G),Densidade de Internet Banda Larga Fixa,Densidade de Telefonia Móvel,Qualidade de Internet Móvel,Expectativa de Vida,Mortalidade entre 15 e 50 anos,Mortalidade por Doenças Crônicas Não Transmissíveis,Obesidade,Suicídios,Áreas Verdes Urbanas,Emissões de CO₂e por Habitante,Focos de Calor,Índice de Vulnerabilidade Climática dos Municípios,Supressão da Vegetação Primária e Secundária,Acesso a Programas de Direitos Humanos,Existência de Ações para Direitos de Minorias,Índice de Atendimento à Demanda de Justiça,Taxa de Congestionamento Líquido de Processos,"Acesso à Cultura, Lazer e Esporte",Gravidez na Adolescência (<19 anos),Trabalho Infantil,Praças e Parques em Áreas Urbanas,Paridade de Gênero na Câmara Municipal,Paridade de Negros na Câmara Municipal,Violência contra Indígenas,Violência contra Mulheres,Violência contra Negros,Empregados com Ensino Superior,Mulheres Empregadas com Ensino Superior,Nota Média no Enem
Niterói,RJ,67.31,133.76,481749.00,138723.80,74.61,72.98,54.34,71.16,91.09,71.95,64.24,71.42,80.83,62.56,77.11,67.30,60.90,24.47,64.68,34.82,477.58,110.45,14.11,4.24,92.46,89.73,100.00,24.79,50.89,55.98,68.60,92.07,51.35,1.53,15.78,16.81,0.70,3.40,4.80,27.00,5.15,13.20,100.00,46.30,92.34,95.27,76.23,2.16,391.04,27.09,6.85,15.53,1.65,0.00,42.17,4.12,11.00,12.00,197.33,63.25,11.00,8.14,0.27,1.93,0.18,0.34,128.00,510.98,452.84,111.63,119.71,601.74
Rio de Janeiro,RJ,66.41,1200.33,6211223.00,58323.47,77.16,69.21,52.86,73.44,88.82,80.41,65.98,70.22,76.94,58.69,70.99,46.64,60.80,31.31,72.68,75.71,337.36,137.01,14.20,4.83,97.69,97.00,100.00,53.37,70.63,58.88,81.51,97.72,27.73,2.10,13.52,11.13,0.50,6.40,7.00,24.90,5.25,14.20,100.00,32.95,92.66,95.74,75.69,2.11,438.79,31.61,4.48,16.71,2.05,0.01,55.11,2.92,10.00,7.00,91.62,63.87,11.00,9.60,0.50,2.99,0.33,0.51,94.96,472.62,336.42,147.59,149.28,585.53
Barra Mansa,RJ,65.86,547.13,169894.00,38237.90,72.65,69.77,55.17,69.05,84.15,89.10,48.28,74.42,72.55,53.86,78.23,41.77,60.72,80.47,37.72,77.47,947.43,144.32,14.85,4.81,89.34,91.48,99.00,56.18,94.65,83.62,78.68,97.16,58.57,7.84,28.84,14.72,0.50,1.00,6.40,27.60,5.45,6.10,99.27,25.81,83.42,95.68,74.14,2.97,482.82,27.74,7.65,14.84,1.84,0.65,40.79,2.04,5.00,8.00,147.13,73.48,9.00,10.78,0.29,7.57,0.40,0.29,0.00,27.99,50.41,52.65,63.12,578.53
Carmo,RJ,64.80,305.75,17198.00,32867.16,83.81,66.70,43.88,65.28,89.89,95.81,84.28,78.46,68.85,47.58,71.89,31.25,52.30,45.27,46.68,82.04,1075.10,161.65,6.41,6.53,96.42,94.05,99.67,42.08,96.02,97.28,88.95,98.86,0.00,0.00,5.81,5.81,0.30,0.04,2.40,28.10,5.70,1.80,96.00,30.49,65.72,93.72,73.77,3.03,566.43,32.31,11.63,1.98,5.85,1.74,43.97,1.88,5.00,0.00,212.10,85.64,6.00,12.82,4.43,7.57,0.53,0.18,0.00,350.01,630.06,69.40,87.39,580.15
Nova Friburgo,RJ,64.74,935.43,189939.00,33542.91,78.81,70.72,44.68,71.08,79.92,92.70,71.54,72.79,76.12,60.60,73.37,33.36,52.38,49.29,43.69,63.38,639.14,120.49,9.26,5.30,74.87,82.41,87.40,24.73,94.02,90.38,85.50,98.14,16.28,1.01,8.42,11.58,0.40,3.30,5.60,27.20,5.20,8.50,97.90,32.97,91.81,95.13,75.77,1.96,446.85,28.24,5.79,4.88,2.18,0.42,43.23,2.31,3.00,10.00,84.09,80.72,8.00,10.78,9.15,2.33,0.27,0.43,0.00,308.61,377.16,60.21,76.86,599.04
Macuco,RJ,64.52,78.36,5415.00,39971.11,79.76,66.82,46.98,51.61,88.54,94.65,84.24,75.86,79.75,40.74,70.94,39.03,42.41,78.32,28.16,68.14,2833.86,216.63,10.31,6.15,94.92,98.12,87.18,29.74,96.89,96.56,83.05,99.54,0.00,0.00,3.69,18.47,0.30,4.00,1.60,27.00,5.25,3.00,95.98,45.57,93.09,95.03,73.03,5.93,599.61,23.41,7.39,1.21,10.11,1.85,44.58,3.36,5.00,6.00,170.72,79.53,2.00,12.37,0.00,2.47,0.00,0.56,,21.50,62.97,43.66,48.34,513.55
São Pedro da Aldeia,RJ,64.33,332.49,104029.00,26566.53,75.75,69.32,47.92,73.17,86.27,84.49,59.06,70.09,76.13,64.08,66.98,31.23,52.56,75.08,32.83,28.11,161.78,109.95,13.26,4.00,87.06,87.41,97.69,34.77,88.16,71.80,72.36,99.09,33.04,6.46,22.11,9.61,1.10,6.70,6.70,30.10,5.40,8.40,99.59,32.08,91.62,94.80,73.03,1.90,380.27,19.68,4.81,11.97,1.24,0.67,60.89,4.25,2.00,10.00,86.04,82.41,9.00,11.17,0.94,0.92,0.19,0.70,0.00,57.78,120.94,43.83,57.98,552.80
Resende,RJ,64.02,1099.34,129612.00,83579.59,76.48,70.99,44.58,65.02,93.07,96.48,51.35,73.99,75.48,58.13,76.38,28.45,60.02,31.12,58.73,65.40,1151.27,137.31,18.82,5.43,96.94,98.85,96.48,24.85,95.06,98.06,92.58,98.23,73.97,4.46,30.09,13.12,0.40,2.90,5.70,21.60,5.30,10.20,97.86,36.02,85.14,94.71,75.31,2.34,445.41,30.34,3.09,7.77,3.12,1.00,38.73,3.73,5.00,6.00,83.82,87.57,9.00,10.45,0.71,6.71,0.23,0.69,144.93,702.91,349.79,102.06,107.70,583.24
São João da Barra,RJ,63.75,452.40,36573.00,272306.05,67.94,66.07,57.26,60.25,60.37,94.12,57.01,66.98,72.08,55.32,69.89,26.82,54.05,78.17,69.99,100.00,2063.65,221.22,14.23,4.14,68.99,44.24,70.99,59.43,97.43,88.03,90.00,99.57,39.39,5.33,27.34,10.94,2.40,2.00,3.30,35.10,4.40,8.70,97.66,18.66,94.73,94.05,73.02,2.07,514.83,27.30,5.47,2.48,3.95,1.37,43.91,11.79,2.00,2.00,187.12,84.92,5.00,12.80,15.11,10.91,0.22,0.00,0.00,58.65,38.94,155.26,170.37,546.46
Nilópolis,RJ,63.51,19.39,146774.00,20997.04,78.51,67.56,44.46,67.31,86.88,93.10,66.74,70.52,72.83,55.31,71.61,36.28,44.68,72.21,24.67,23.83,284.24,144.98,27.39,3.98,95.77,99.78,100.00,62.56,99.28,92.95,92.52,91.42,23.67,2.77,11.58,2.73,0.80,4.80,4.30,25.60,4.80,11.60,100.00,33.53,73.08,95.71,73.99,2.66,418.86,31.20,5.45,48.39,0.89,0.07,53.08,4.59,10.00,6.00,75.92,90.21,6.00,11.84,0.39,0.31,0.00,0.26,0.00,3.83,122.31,28.06,35.26,554.97
