nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel
6,Município,45,Pessoas,410220,3301009,Campos dos Goytacazes (RJ),2001,2001,9324,População residente estimada
6,Município,45,Pessoas,413445,3301009,Campos dos Goytacazes (RJ),2002,2002,9324,População residente estimada
6,Município,45,Pessoas,416441,3301009,Campos dos Goytacazes (RJ),2003,2003,9324,População residente estimada
6,Município,45,Pessoas,422731,3301009,Campos dos Goytacazes (RJ),2004,2004,9324,População residente estimada
6,Município,45,Pessoas,426212,3301009,Campos dos Goytacazes (RJ),2005,2005,9324,População residente estimada
6,Município,45,Pessoas,429667,3301009,Campos dos Goytacazes (RJ),2006,2006,9324,População residente estimada
6,Município,45,Pessoas,431839,3301009,Campos dos Goytacazes (RJ),2008,2008,9324,População residente estimada
6,Município,45,Pessoas,434008,3301009,Campos dos Goytacazes (RJ),2009,2009,9324,População residente estimada
6,Município,45,Pessoas,468087,3301009,Campos dos Goytacazes (RJ),2011,2011,9324,População residente estimada
6,Município,45,Pessoas,472300,3301009,Campos dos Goytacazes (RJ),2012,2012,9324,População residente estimada
6,Município,45,Pessoas,477208,3301009,Campos dos Goytacazes (RJ),2013,2013,9324,População residente estimada
6,Município,45,Pessoas,480648,3301009,Campos dos Goytacazes (RJ),2014,2014,9324,População residente estimada
6,Município,45,Pessoas,483970,3301009,Campos dos Goytacazes (RJ),2015,2015,9324,População residente estimada
6,Município,45,Pessoas,487186,3301009,Campos dos Goytacazes (RJ),2016,2016,9324,População residente estimada
6,Município,45,Pessoas,490288,3301009,Campos dos Goytacazes (RJ),2017,2017,9324,População residente estimada
6,Município,45,Pessoas,503424,3301009,Campos dos Goytacazes (RJ),2018,2018,9324,População residente estimada
6,Município,45,Pessoas,507548,3301009,Campos dos Goytacazes (RJ),2019,2019,9324,População residente estimada
6,Município,45,Pessoas,511168,3301009,Campos dos Goytacazes (RJ),2020,2020,9324,População residente estimada
6,Município,45,Pessoas,514643,3301009,Campos dos Goytacazes (RJ),2021,2021,9324,População residente estimada
6,Município,45,Pessoas,519011,3301009,Campos dos Goytacazes (RJ),2024,2024,9324,População residente estimada
6,Município,45,Pessoas,519259,3301009,Campos dos Goytacazes (RJ),2025,2025,9324,População residente estimada
