nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,sexo_codigo,sexo,cor_ou_raca_codigo,cor_ou_raca,idade_codigo,idade
6,Município,2,%,95.06,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,100362,Total
6,Município,2,%,98.5,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,93086,15 a 19 anos
6,Município,2,%,98.15,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6572,15 anos
6,Município,2,%,98.47,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6573,16 anos
6,Município,2,%,98.71,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6574,17 anos
6,Município,2,%,98.45,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6575,18 anos
6,Município,2,%,98.71,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6576,19 anos
6,Município,2,%,98.61,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,93087,20 a 24 anos
6,Município,2,%,98.5,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6577,20 anos
6,Município,2,%,98.65,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6578,21 anos
6,Município,2,%,98.74,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6579,22 anos
6,Município,2,%,98.55,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6580,23 anos
6,Município,2,%,98.61,3301009,Campos dos Goytacazes (RJ),2022,2022,2513,Taxa de alfabetização das pessoas de 15 anos ou mais de idade,6794,Total,95251,Total,6581,24 anos
