nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,sexo_codigo,sexo,idade_codigo,idade,forma_de_declaracao_da_idade_codigo,forma_de_declaracao_da_idade
6,Município,45,Pessoas,483540,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,100362,Total,113635,Total
6,Município,45,Pessoas,333304,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,100362,Total,6555,Data de nascimento
6,Município,45,Pessoas,150236,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,100362,Total,6556,Idade presumida
6,Município,45,Pessoas,30196,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93070,0 a 4 anos,113635,Total
6,Município,45,Pessoas,21508,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93070,0 a 4 anos,6555,Data de nascimento
6,Município,45,Pessoas,8688,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93070,0 a 4 anos,6556,Idade presumida
6,Município,45,Pessoas,5560,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6557,Menos de 1 ano,113635,Total
6,Município,45,Pessoas,4203,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6557,Menos de 1 ano,6555,Data de nascimento
6,Município,45,Pessoas,1357,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,6557,Menos de 1 ano,6556,Idade presumida
6,Município,45,Pessoas,405,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93071,Menos de 1 mês,113635,Total
6,Município,45,Pessoas,373,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93071,Menos de 1 mês,6555,Data de nascimento
6,Município,45,Pessoas,32,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,6794,Total,93071,Menos de 1 mês,6556,Idade presumida
