
"Ocupa&ccedil;&otilde;es em geral";"Quantidade"
"PESSOAL DE SA&Uacute;DE - N&Iacute;VEL SUPERIOR";4082
"ANESTESISTA";47
"M&eacute;dico Anestesiologista";47
" ASSISTENTE SOCIAL";188
"Assistente Social";188
" BIOQU&Iacute;MICO/FARMAC&Ecirc;UTICO";109
"Farmac&ecirc;utico";109
" CIRURGI&Atilde;O GERAL";36
"M&eacute;dico Cirurgi&atilde;o Geral";36
" CL&Iacute;NICO GERAL";408
"M&eacute;dico Cl&iacute;nico";408
" ENFERMEIRO";831
"Outros enfermeiros";7
"Enfermeiro";745
"Enfermeiro auditor";9
"Enfermeiro da estrat&eacute;gia de sa&uacute;de da fam&iacute;lia";21
"Enfermeiro de centro cir£rgico";1
"Enfermeiro de terapia intensiva";25
"Enfermeiro do trabalho";9
"Enfermeiro nefrologista";3
"Enfermeiro obst&eacute;trico";8
"Enfermeiro psiqui&aacute;trico";2
"Enfermeiro sanitarista";1
" FISIOTERAPEUTA";474
"Fisioterapeuta geral";473
"Fisioterapeuta neurofuncional";1
" FONOAUDI&Oacute;LOGO";86
"Fonoaudi&oacute;logo";86
" GINECO OBSTETRA";119
"M&eacute;dico Ginecologista Obstetra";119
" M&Eacute;DICO DE FAM&Iacute;LIA";11
"M&eacute;dico da estrat&eacute;gia de Sa&uacute;de da Fam&iacute;lia";10
"M&eacute;dico de fam&iacute;lia e comunidade";1
" NUTRICIONISTA";95
"Nutricionista";95
" ODONT&Oacute;LOGO";560
"Cirurgi&atilde;o dentista - auditor";1
"Cirurgi&atilde;o dentista - cl&iacute;nico geral";450
"Cirurgi&atilde;o dentista - endodontista";25
"Cirurgi&atilde;o dentista - estomatologista";2
"Cirurgi&atilde;o dentista - odontologia para pacientes co";1
"Cirurgi&atilde;o dentista - odontopediatra";14
"Cirurgi&atilde;o dentista - ortopedista e ortodontista";15
"Cirurgi&atilde;o dentista - periodontista";7
"Cirurgi&atilde;o dentista - protesista";9
"Cirurgi&atilde;o dentista - radiologista";5
"Cirurgi&atilde;o dentista - traumatologista bucomaxilofac";17
"Cirurgi&atilde;o-dentista da estrat&eacute;gia de sa&uacute;de da fam&iacute;l";14
" PEDIATRA";218
"M&eacute;dico Pediatra";218
" PSIC&Oacute;LOGO";211
"Psic&oacute;logo Cl&iacute;nico";201
"Psic&oacute;logo do Trabalho";1
"Psic&oacute;logo Social";1
"Psic&oacute;logo Educacional";2
"Psic&oacute;logo Hospitalar";6
" PSIQUIATRA";18
"M&eacute;dico psiquiatra";18
" RADIOLOGISTA";43
"M&eacute;dico em radiologia e diagn&oacute;stico por imagem";43
" SANITARISTA";1
"M&eacute;dico sanitarista";1
" OUTRAS ESPECIALIDADES M&Eacute;DICAS";524
"M&eacute;dico acupunturista";1
"M&eacute;dico alergista e imunologista";12
"M&eacute;dico anatomopatologista";4
"M&eacute;dico angiologista";14
"M&eacute;dico Cardiologista Intervencionista";1
"M&eacute;dico cardiologista";88
"M&eacute;dico cirurgi&atilde;o cardiovascular";1
"M&eacute;dico cirurgi&atilde;o de cabe&ccedil;a e pesco&ccedil;o";3
"M&eacute;dico cirurgi&atilde;o do aparelho digestivo";3
"M&eacute;dico cirurgi&atilde;o pedi&aacute;trico";1
"M&eacute;dico cirurgi&atilde;o pl&aacute;stico";5
"M&eacute;dico cirurgi&atilde;o tor&aacute;cico";2
"M&eacute;dico coloproctologista";3
"M&eacute;dico dermatologista";23
"M&eacute;dico do trabalho";15
"M&eacute;dico em cirurgia vascular";3
"M&eacute;dico em endoscopia";2
"M&eacute;dico em medicina intensiva";26
"M&eacute;dico em medicina nuclear";3
"M&eacute;dico endocrinologista e metabologista";12
"M&eacute;dico fisiatra";4
"M&eacute;dico gastroenterologista";16
"M&eacute;dico geneticista";1
"M&eacute;dico geriatra";5
"M&eacute;dico hematologista";2
"M&eacute;dico infectologista";13
"M&eacute;dico mastologista";2
"M&eacute;dico nefrologista";23
"M&eacute;dico neurocirurgi&atilde;o";6
"M&eacute;dico neurologista";33
"M&eacute;dico nutrologista";3
"M&eacute;dico oftalmologista";49
"M&eacute;dico oncologista cl&iacute;nico";25
"M&eacute;dico ortopedista e traumatologista";41
"M&eacute;dico otorrinolaringologista";23
"M&eacute;dico patologista";1
"M&eacute;dico patologista cl&iacute;nico / medicina laboratorial";1
"M&eacute;dico pneumologista";6
"M&eacute;dico radioterapeuta";3
"M&eacute;dico residente";26
"M&eacute;dico reumatologista";10
"M&eacute;dico urologista";9
" OUTRAS OCUPA&Ccedil;&Otilde;ES DE N&Iacute;VEL SUPERIOR RELAC &Agrave; SA&Uacute;DE";103
"M&eacute;dico veterin&aacute;rio";13
"Bi&oacute;logo";45
"BioM&eacute;dico";2
"Coordenador Pedag&oacute;gico";2
"F&iacute;sico (medicina)";3
"F&iacute;sico (nuclear e reatores)";1
"Neuropsic&oacute;logo";2
"Pedagogo";4
"Pesquisador em Biologia Ambiental Ecologi";2
"Preparador F&iacute;sico";2
"Professor de Educa&ccedil;&atilde;o Fisica Ensino M&eacute;dio";1
"Psicopedagogo";8
"Terapeuta ocupacional";18
"PESSOAL DE SA&Uacute;DE - N&Iacute;VEL T&Eacute;CNICO T&Eacute;CNICO/AUXILIAR";3978
" AUXILIAR DE ENFERMAGEM";815
"Auxiliar de Enfermagem";814
"Auxiliar de Enfermagem do Trabalho";1
" FISCAL SANIT&Aacute;RIO";2
"Visitador Sanit&aacute;rio";2
" T&Eacute;CNICO DE ENFERMAGEM";2553
"T&eacute;cnico de enfermagem";2506
"T&eacute;cnico de enfermagem de sa&uacute;de da fam&iacute;lia";29
"T&eacute;cnico de enfermagem de terapia intensiva";4
"Socorrista (exceto m&eacute;dicos e enfermeiros) habilita";14
" T&Eacute;CNICO E AUXILIAR DE FARM&Aacute;CIA";122
"Auxiliar de Farm&aacute;cia de Manipula&ccedil;&atilde;o";10
"Auxiliar t&eacute;cnico em laborat&oacute;rio de farm&aacute;cia";7
"T&eacute;cnico em Farm&aacute;cia";105
" T&Eacute;CNICO E AUXILIAR DE LABORAT&Oacute;RIO";261
"Auxiliar de Laborat&oacute;rio de An&aacute;lises Cl&iacute;nicas";16
"Auxiliar T&eacute;cnico em Patologia Cl&iacute;nica";16
"T&eacute;cnico de laborat&oacute;rio de an&aacute;lises f&iacute;sico-qu&iacute;micas";4
"T&eacute;cnico em Laborat&oacute;rio de Farm&aacute;cia";4
"T&eacute;cnico em patologia cl&iacute;nica";221
" T&Eacute;CNICO E AUXILIAR EM FISIOTERAPIA E REABILITA&Ccedil;&Atilde;O";8
"T&eacute;cnico de imobiliza&ccedil;&atilde;o ortop&eacute;dica";8
" T&Eacute;CNICO E AUXILIAR EM SA&Uacute;DE ORAL";9
"T&eacute;cnico em sa&uacute;de bucal";9
" T&Eacute;CNICO E AUXILIAR EM VIG SANIT&Aacute;RIA E AMBIENTAL";1
"Agente de defesa ambiental";1
" T&Eacute;CNICO E AUXILIAR EM RADIOLOGIA M&Eacute;DICA";172
"Auxiliar de Radiologia (Revela&ccedil;&atilde;o Fotogr&aacute;fica)";2
"T&eacute;cnico em radiologia e imagenologia";170
" OUTRAS OCUPA&Ccedil;&Otilde;ES N&Iacute;VEL T&Eacute;CNICO E AUXILIAR EM SA&Uacute;D";35
"Instrumentador Cir&uacute;rgico";32
"T&eacute;cnico de Alimentos";3
"PESSOAL DE SA&Uacute;DE - QUALIFICA&Ccedil;&Atilde;O ELEMENTAR";2663
" AGENTE COMUNIT&Aacute;RIO DE SA&Uacute;DE";222
"Agente comunit&aacute;rio de sa&uacute;de";222
" AGENTE DE SA&Uacute;DE P&Uacute;BLICA";16
"Agente de sa&uacute;de p&uacute;blica agente de saneam";16
" ATENDENTE DE ENFERMAGEM/AUX OPER SERV DIV E ASSEM";143
"Atendente de consult&oacute;rio dentario";109
"Atendente de enfermagem atend ber&ccedil;ario";8
"Atendente de farm&aacute;cia  balconista";26
" OUTRAS OCUPA&Ccedil;&Otilde;ES N&Iacute;VEL ELEMENTAR EM SA&Uacute;DE";2282
