"cbo_codigo","n_profissionais","ano","competencia","universo","categoria_estudo"
"111220",1,2018,"2018-12","apoio_ou_outra",NA
"121010",1,2018,"2018-12","apoio_ou_outra",NA
"123105",11,2018,"2018-12","apoio_ou_outra",NA
"123205",1,2018,"2018-12","apoio_ou_outra",NA
"123605",3,2018,"2018-12","apoio_ou_outra",NA
"123805",1,2018,"2018-12","apoio_ou_outra",NA
"131205",30,2018,"2018-12","apoio_ou_outra",NA
"131210",119,2018,"2018-12","apoio_ou_outra",NA
"142105",12,2018,"2018-12","apoio_ou_outra",NA
"142115",1,2018,"2018-12","apoio_ou_outra",NA
"142205",1,2018,"2018-12","apoio_ou_outra",NA
"142210",2,2018,"2018-12","apoio_ou_outra",NA
"142340",2,2018,"2018-12","apoio_ou_outra",NA
"142415",2,2018,"2018-12","apoio_ou_outra",NA
"142530",1,2018,"2018-12","apoio_ou_outra",NA
"203005",4,2018,"2018-12","apoio_ou_outra",NA
"212310",1,2018,"2018-12","apoio_ou_outra",NA
"212405",4,2018,"2018-12","apoio_ou_outra",NA
"212415",1,2018,"2018-12","apoio_ou_outra",NA
"213150",5,2018,"2018-12","apoio_ou_outra",NA
"213155",5,2018,"2018-12","apoio_ou_outra",NA
"214105",1,2018,"2018-12","apoio_ou_outra",NA
"214325",1,2018,"2018-12","apoio_ou_outra",NA
"214915",3,2018,"2018-12","apoio_ou_outra",NA
"214935",1,2018,"2018-12","apoio_ou_outra",NA
"221105",47,2018,"2018-12","multiprofissional","Biologia"
"221205",1,2018,"2018-12","multiprofissional","Biomedicina"
"2231F9",9,2018,"2018-12","principal","Medicina"
"2231G1",1,2018,"2018-12","principal","Medicina"
"223204",1,2018,"2018-12","principal","Odontologia e saúde bucal"
"223208",572,2018,"2018-12","principal","Odontologia e saúde bucal"
"223212",64,2018,"2018-12","principal","Odontologia e saúde bucal"
"223220",2,2018,"2018-12","principal","Odontologia e saúde bucal"
"223224",3,2018,"2018-12","principal","Odontologia e saúde bucal"
"223228",2,2018,"2018-12","principal","Odontologia e saúde bucal"
"223236",39,2018,"2018-12","principal","Odontologia e saúde bucal"
"223240",58,2018,"2018-12","principal","Odontologia e saúde bucal"
"223244",1,2018,"2018-12","principal","Odontologia e saúde bucal"
"223248",33,2018,"2018-12","principal","Odontologia e saúde bucal"
"223252",2,2018,"2018-12","principal","Odontologia e saúde bucal"
"223256",45,2018,"2018-12","principal","Odontologia e saúde bucal"
"223260",17,2018,"2018-12","principal","Odontologia e saúde bucal"
"223268",44,2018,"2018-12","principal","Odontologia e saúde bucal"
"223272",2,2018,"2018-12","principal","Odontologia e saúde bucal"
"223280",1,2018,"2018-12","principal","Odontologia e saúde bucal"
"223288",5,2018,"2018-12","principal","Odontologia e saúde bucal"
"223293",18,2018,"2018-12","principal","Odontologia e saúde bucal"
"223305",14,2018,"2018-12","apoio_ou_outra",NA
"223405",125,2018,"2018-12","principal","Farmácia"
"223415",35,2018,"2018-12","principal","Farmácia"
"223445",1,2018,"2018-12","principal","Farmácia"
"223505",835,2018,"2018-12","principal","Enfermagem – enfermeiros"
"223510",8,2018,"2018-12","principal","Enfermagem – enfermeiros"
"223520",1,2018,"2018-12","principal","Enfermagem – enfermeiros"
"223525",2,2018,"2018-12","principal","Enfermagem – enfermeiros"
"223530",11,2018,"2018-12","principal","Enfermagem – enfermeiros"
"223535",4,2018,"2018-12","principal","Enfermagem – enfermeiros"
"223545",11,2018,"2018-12","principal","Enfermagem – enfermeiros"
"223550",3,2018,"2018-12","principal","Enfermagem – enfermeiros"
"223560",1,2018,"2018-12","principal","Enfermagem – enfermeiros"
"223565",26,2018,"2018-12","principal","Enfermagem – enfermeiros"
"223570",7,2018,"2018-12","principal","Enfermagem – enfermeiros"
"223605",510,2018,"2018-12","principal","Fisioterapia"
"223630",1,2018,"2018-12","principal","Fisioterapia"
"223650",1,2018,"2018-12","principal","Fisioterapia"
"223710",96,2018,"2018-12","principal","Nutrição"
"223810",102,2018,"2018-12","principal","Fonoaudiologia"
"223905",24,2018,"2018-12","apoio_ou_outra",NA
"224105",1,2018,"2018-12","multiprofissional","Educação física"
"224120",1,2018,"2018-12","multiprofissional","Educação física"
"2241E1",4,2018,"2018-12","multiprofissional","Educação física"
"225103",28,2018,"2018-12","principal","Medicina"
"225105",1,2018,"2018-12","principal","Medicina"
"225109",50,2018,"2018-12","principal","Medicina"
"225110",21,2018,"2018-12","principal","Medicina"
"225112",60,2018,"2018-12","principal","Medicina"
"225115",36,2018,"2018-12","principal","Medicina"
"225118",5,2018,"2018-12","principal","Medicina"
"225120",249,2018,"2018-12","principal","Medicina"
"225121",47,2018,"2018-12","principal","Medicina"
"225124",469,2018,"2018-12","principal","Medicina"
"225125",703,2018,"2018-12","principal","Medicina"
"225127",37,2018,"2018-12","principal","Medicina"
"225133",61,2018,"2018-12","principal","Medicina"
"225135",89,2018,"2018-12","principal","Medicina"
"225136",37,2018,"2018-12","principal","Medicina"
"225139",2,2018,"2018-12","principal","Medicina"
"225140",32,2018,"2018-12","principal","Medicina"
"225142",24,2018,"2018-12","principal","Medicina"
"225148",11,2018,"2018-12","principal","Medicina"
"225150",110,2018,"2018-12","principal","Medicina"
"225151",153,2018,"2018-12","principal","Medicina"
"225155",73,2018,"2018-12","principal","Medicina"
"225160",3,2018,"2018-12","principal","Medicina"
"225165",74,2018,"2018-12","principal","Medicina"
"225175",1,2018,"2018-12","principal","Medicina"
"225180",25,2018,"2018-12","principal","Medicina"
"225185",24,2018,"2018-12","principal","Medicina"
"225195",4,2018,"2018-12","principal","Medicina"
"225203",36,2018,"2018-12","principal","Medicina"
"225210",33,2018,"2018-12","principal","Medicina"
"225215",11,2018,"2018-12","principal","Medicina"
"225220",11,2018,"2018-12","principal","Medicina"
"225225",188,2018,"2018-12","principal","Medicina"
"225230",19,2018,"2018-12","principal","Medicina"
"225235",35,2018,"2018-12","principal","Medicina"
"225240",24,2018,"2018-12","principal","Medicina"
"225250",352,2018,"2018-12","principal","Medicina"
"225255",27,2018,"2018-12","principal","Medicina"
"225260",39,2018,"2018-12","principal","Medicina"
"225265",120,2018,"2018-12","principal","Medicina"
"225270",170,2018,"2018-12","principal","Medicina"
"225275",72,2018,"2018-12","principal","Medicina"
"225280",42,2018,"2018-12","principal","Medicina"
"225285",95,2018,"2018-12","principal","Medicina"
"225290",16,2018,"2018-12","principal","Medicina"
"225295",1,2018,"2018-12","principal","Medicina"
"225305",5,2018,"2018-12","principal","Medicina"
"225310",20,2018,"2018-12","principal","Medicina"
"225315",5,2018,"2018-12","principal","Medicina"
"225320",168,2018,"2018-12","principal","Medicina"
"225325",2,2018,"2018-12","principal","Medicina"
"225330",10,2018,"2018-12","principal","Medicina"
"225335",8,2018,"2018-12","principal","Medicina"
"225340",6,2018,"2018-12","principal","Medicina"
"225345",2,2018,"2018-12","principal","Medicina"
"226305",6,2018,"2018-12","apoio_ou_outra",NA
"226310",1,2018,"2018-12","apoio_ou_outra",NA
"232120",1,2018,"2018-12","apoio_ou_outra",NA
"234410",2,2018,"2018-12","apoio_ou_outra",NA
"239405",3,2018,"2018-12","apoio_ou_outra",NA
"239415",4,2018,"2018-12","apoio_ou_outra",NA
"239425",3,2018,"2018-12","apoio_ou_outra",NA
"241005",1,2018,"2018-12","apoio_ou_outra",NA
"251505",2,2018,"2018-12","multiprofissional","Psicologia"
"251510",214,2018,"2018-12","multiprofissional","Psicologia"
"251520",12,2018,"2018-12","multiprofissional","Psicologia"
"251540",1,2018,"2018-12","multiprofissional","Psicologia"
"251545",3,2018,"2018-12","multiprofissional","Psicologia"
"251605",205,2018,"2018-12","multiprofissional","Serviço social"
"252105",20,2018,"2018-12","apoio_ou_outra",NA
"252205",4,2018,"2018-12","apoio_ou_outra",NA
"252210",4,2018,"2018-12","apoio_ou_outra",NA
"252305",10,2018,"2018-12","apoio_ou_outra",NA
"252405",2,2018,"2018-12","apoio_ou_outra",NA
"254310",1,2018,"2018-12","apoio_ou_outra",NA
"261205",1,2018,"2018-12","apoio_ou_outra",NA
"261305",1,2018,"2018-12","apoio_ou_outra",NA
"301110",6,2018,"2018-12","apoio_ou_outra",NA
"313105",2,2018,"2018-12","apoio_ou_outra",NA
"313120",1,2018,"2018-12","apoio_ou_outra",NA
"313205",1,2018,"2018-12","apoio_ou_outra",NA
"313220",5,2018,"2018-12","apoio_ou_outra",NA
"313415",1,2018,"2018-12","apoio_ou_outra",NA
"317110",1,2018,"2018-12","apoio_ou_outra",NA
"317205",2,2018,"2018-12","apoio_ou_outra",NA
"317210",5,2018,"2018-12","apoio_ou_outra",NA
"322105",1,2018,"2018-12","apoio_ou_outra",NA
"322110",2,2018,"2018-12","apoio_ou_outra",NA
"322205",2354,2018,"2018-12","principal","Enfermagem – técnicos e auxiliares"
"322210",9,2018,"2018-12","principal","Enfermagem – técnicos e auxiliares"
"322225",31,2018,"2018-12","principal","Enfermagem – técnicos e auxiliares"
"322230",1028,2018,"2018-12","principal","Enfermagem – técnicos e auxiliares"
"322235",2,2018,"2018-12","principal","Enfermagem – técnicos e auxiliares"
"322245",33,2018,"2018-12","principal","Enfermagem – técnicos e auxiliares"
"322405",11,2018,"2018-12","principal","Odontologia e saúde bucal"
"322415",117,2018,"2018-12","principal","Odontologia e saúde bucal"
"322430",10,2018,"2018-12","principal","Odontologia e saúde bucal"
"322605",11,2018,"2018-12","principal","Instrumentação cirúrgica"
"324115",211,2018,"2018-12","principal","Diagnóstico e laboratório – técnicos e auxiliares"
"324120",18,2018,"2018-12","principal","Diagnóstico e laboratório – técnicos e auxiliares"
"324205",215,2018,"2018-12","principal","Diagnóstico e laboratório – técnicos e auxiliares"
"324210",6,2018,"2018-12","principal","Diagnóstico e laboratório – técnicos e auxiliares"
"324220",3,2018,"2018-12","principal","Diagnóstico e laboratório – técnicos e auxiliares"
"325105",6,2018,"2018-12","principal","Farmácia – técnicos e auxiliares"
"325110",5,2018,"2018-12","principal","Farmácia – técnicos e auxiliares"
"325115",110,2018,"2018-12","principal","Farmácia – técnicos e auxiliares"
"325305",8,2018,"2018-12","apoio_ou_outra",NA
"351105",1,2018,"2018-12","apoio_ou_outra",NA
"351605",19,2018,"2018-12","apoio_ou_outra",NA
"352205",2,2018,"2018-12","apoio_ou_outra",NA
"352210",20,2018,"2018-12","apoio_ou_outra",NA
"354205",1,2018,"2018-12","apoio_ou_outra",NA
"371105",2,2018,"2018-12","apoio_ou_outra",NA
"391205",1,2018,"2018-12","apoio_ou_outra",NA
"391210",1,2018,"2018-12","apoio_ou_outra",NA
"410105",16,2018,"2018-12","apoio_ou_outra",NA
"410220",2,2018,"2018-12","apoio_ou_outra",NA
"410235",3,2018,"2018-12","apoio_ou_outra",NA
"411005",269,2018,"2018-12","apoio_ou_outra",NA
"411010",351,2018,"2018-12","apoio_ou_outra",NA
"412110",40,2018,"2018-12","apoio_ou_outra",NA
"413110",2,2018,"2018-12","apoio_ou_outra",NA
"413115",30,2018,"2018-12","apoio_ou_outra",NA
"414105",3,2018,"2018-12","apoio_ou_outra",NA
"415105",2,2018,"2018-12","apoio_ou_outra",NA
"420130",6,2018,"2018-12","apoio_ou_outra",NA
"422105",91,2018,"2018-12","apoio_ou_outra",NA
"422110",147,2018,"2018-12","apoio_ou_outra",NA
"422205",51,2018,"2018-12","apoio_ou_outra",NA
"422220",4,2018,"2018-12","apoio_ou_outra",NA
"513115",1,2018,"2018-12","apoio_ou_outra",NA
"513220",4,2018,"2018-12","apoio_ou_outra",NA
"513405",1,2018,"2018-12","apoio_ou_outra",NA
"513425",2,2018,"2018-12","apoio_ou_outra",NA
"513430",9,2018,"2018-12","apoio_ou_outra",NA
"514225",1,2018,"2018-12","apoio_ou_outra",NA
"514320",81,2018,"2018-12","apoio_ou_outra",NA
"515105",215,2018,"2018-12","principal","Agentes comunitários de saúde e afins"
"515110",8,2018,"2018-12","principal","Agentes comunitários de saúde e afins"
"515120",4,2018,"2018-12","principal","Agentes comunitários de saúde e afins"
"515135",14,2018,"2018-12","principal","Agentes comunitários de saúde e afins"
"515140",432,2018,"2018-12","principal","Agentes comunitários de saúde e afins"
"515210",12,2018,"2018-12","principal","Diagnóstico e laboratório – técnicos e auxiliares"
"515215",20,2018,"2018-12","principal","Diagnóstico e laboratório – técnicos e auxiliares"
"516220",1,2018,"2018-12","apoio_ou_outra",NA
"516345",2,2018,"2018-12","apoio_ou_outra",NA
"517310",10,2018,"2018-12","apoio_ou_outra",NA
"517330",1,2018,"2018-12","apoio_ou_outra",NA
"519305",1,2018,"2018-12","apoio_ou_outra",NA
"521130",23,2018,"2018-12","apoio_ou_outra",NA
"715610",1,2018,"2018-12","apoio_ou_outra",NA
"715615",1,2018,"2018-12","apoio_ou_outra",NA
"716610",1,2018,"2018-12","apoio_ou_outra",NA
"763215",1,2018,"2018-12","apoio_ou_outra",NA
"766150",3,2018,"2018-12","apoio_ou_outra",NA
"766420",2,2018,"2018-12","apoio_ou_outra",NA
"782305",8,2018,"2018-12","apoio_ou_outra",NA
"782310",2,2018,"2018-12","apoio_ou_outra",NA
"782320",243,2018,"2018-12","apoio_ou_outra",NA
"862120",1,2018,"2018-12","apoio_ou_outra",NA
"915305",1,2018,"2018-12","apoio_ou_outra",NA
"951105",2,2018,"2018-12","apoio_ou_outra",NA
"111220",1,2019,"2019-12","apoio_ou_outra",NA
"121010",2,2019,"2019-12","apoio_ou_outra",NA
"123105",12,2019,"2019-12","apoio_ou_outra",NA
"123205",1,2019,"2019-12","apoio_ou_outra",NA
"123605",3,2019,"2019-12","apoio_ou_outra",NA
"123805",1,2019,"2019-12","apoio_ou_outra",NA
"131205",31,2019,"2019-12","apoio_ou_outra",NA
"131210",126,2019,"2019-12","apoio_ou_outra",NA
"131310",10,2019,"2019-12","apoio_ou_outra",NA
"142105",10,2019,"2019-12","apoio_ou_outra",NA
"142115",1,2019,"2019-12","apoio_ou_outra",NA
"142205",1,2019,"2019-12","apoio_ou_outra",NA
"142210",2,2019,"2019-12","apoio_ou_outra",NA
"142340",1,2019,"2019-12","apoio_ou_outra",NA
"142415",2,2019,"2019-12","apoio_ou_outra",NA
"142520",1,2019,"2019-12","apoio_ou_outra",NA
"142530",1,2019,"2019-12","apoio_ou_outra",NA
"203005",4,2019,"2019-12","apoio_ou_outra",NA
"212310",1,2019,"2019-12","apoio_ou_outra",NA
"212405",4,2019,"2019-12","apoio_ou_outra",NA
