
"Ocupa&ccedil;&otilde;es em geral";"Quantidade"
"PESSOAL DE SA&Uacute;DE - N&Iacute;VEL SUPERIOR";3796
"ANESTESISTA";45
"M&eacute;dico Anestesiologista";45
" ASSISTENTE SOCIAL";173
"Assistente Social";173
" BIOQU&Iacute;MICO/FARMAC&Ecirc;UTICO";98
"Farmac&ecirc;utico";98
" CIRURGI&Atilde;O GERAL";36
"M&eacute;dico Cirurgi&atilde;o Geral";36
" CL&Iacute;NICO GERAL";376
"M&eacute;dico Cl&iacute;nico";376
" ENFERMEIRO";788
"Outros enfermeiros";5
"Enfermeiro";734
"Enfermeiro auditor";6
"Enfermeiro da estrat&eacute;gia de sa&uacute;de da fam&iacute;lia";19
"Enfermeiro de centro cir£rgico";1
"Enfermeiro de terapia intensiva";1
"Enfermeiro do trabalho";9
"Enfermeiro nefrologista";4
"Enfermeiro obst&eacute;trico";6
"Enfermeiro psiqui&aacute;trico";2
"Enfermeiro sanitarista";1
" FISIOTERAPEUTA";414
"Fisioterapeuta geral";413
"Fisioterapeuta neurofuncional";1
" FONOAUDI&Oacute;LOGO";72
"Fonoaudi&oacute;logo";72
" GINECO OBSTETRA";113
"M&eacute;dico Ginecologista Obstetra";113
" M&Eacute;DICO DE FAM&Iacute;LIA";12
"M&eacute;dico da estrat&eacute;gia de Sa&uacute;de da Fam&iacute;lia";12
" NUTRICIONISTA";73
"Nutricionista";73
" ODONT&Oacute;LOGO";562
"Cirurgi&atilde;o dentista - auditor";1
"Cirurgi&atilde;o dentista - cl&iacute;nico geral";449
"Cirurgi&atilde;o dentista - endodontista";23
"Cirurgi&atilde;o dentista - estomatologista";2
"Cirurgi&atilde;o dentista - odontogeriatra";1
"Cirurgi&atilde;o dentista - odontologia para pacientes co";1
"Cirurgi&atilde;o dentista - odontopediatra";14
"Cirurgi&atilde;o dentista - ortopedista e ortodontista";18
"Cirurgi&atilde;o dentista - periodontista";6
"Cirurgi&atilde;o dentista - protesista";12
"Cirurgi&atilde;o dentista - protesi&oacute;logo bucomaxilofacial";1
"Cirurgi&atilde;o dentista - radiologista";6
"Cirurgi&atilde;o dentista - traumatologista bucomaxilofac";16
"Cirurgi&atilde;o-dentista da estrat&eacute;gia de sa&uacute;de da fam&iacute;l";12
" PEDIATRA";211
"M&eacute;dico Pediatra";211
" PSIC&Oacute;LOGO";181
"Psic&oacute;logo Cl&iacute;nico";173
"Psic&oacute;logo do Trabalho";1
"Psic&oacute;logo Educacional";2
"Psic&oacute;logo Hospitalar";5
" PSIQUIATRA";16
"M&eacute;dico psiquiatra";16
" RADIOLOGISTA";41
"M&eacute;dico em radiologia e diagn&oacute;stico por imagem";41
" SANITARISTA";2
"M&eacute;dico sanitarista";2
" OUTRAS ESPECIALIDADES M&Eacute;DICAS";494
"M&eacute;dico acupunturista";1
"M&eacute;dico alergista e imunologista";12
"M&eacute;dico anatomopatologista";5
"M&eacute;dico angiologista";15
"M&eacute;dico Cardiologista Intervencionista";1
"M&eacute;dico cardiologista";90
"M&eacute;dico cirurgi&atilde;o cardiovascular";1
"M&eacute;dico cirurgi&atilde;o de cabe&ccedil;a e pesco&ccedil;o";4
"M&eacute;dico cirurgi&atilde;o do aparelho digestivo";3
"M&eacute;dico cirurgi&atilde;o pedi&aacute;trico";1
"M&eacute;dico cirurgi&atilde;o pl&aacute;stico";6
"M&eacute;dico cirurgi&atilde;o tor&aacute;cico";1
"M&eacute;dico coloproctologista";2
"M&eacute;dico dermatologista";25
"M&eacute;dico do trabalho";12
"M&eacute;dico em cirurgia vascular";2
"M&eacute;dico em medicina intensiva";20
"M&eacute;dico em medicina nuclear";3
"M&eacute;dico endocrinologista e metabologista";11
"M&eacute;dico fisiatra";3
"M&eacute;dico gastroenterologista";16
"M&eacute;dico geriatra";7
"M&eacute;dico hematologista";2
"M&eacute;dico infectologista";13
"M&eacute;dico mastologista";3
"M&eacute;dico nefrologista";24
"M&eacute;dico neurocirurgi&atilde;o";7
"M&eacute;dico neurologista";30
"M&eacute;dico nutrologista";2
"M&eacute;dico oftalmologista";45
"M&eacute;dico oncologista cl&iacute;nico";21
"M&eacute;dico ortopedista e traumatologista";42
"M&eacute;dico otorrinolaringologista";21
"M&eacute;dico patologista";1
"M&eacute;dico patologista cl&iacute;nico / medicina laboratorial";1
"M&eacute;dico pneumologista";8
"M&eacute;dico radioterapeuta";3
"M&eacute;dico residente";9
"M&eacute;dico reumatologista";9
"M&eacute;dico urologista";12
" OUTRAS OCUPA&Ccedil;&Otilde;ES DE N&Iacute;VEL SUPERIOR RELAC &Agrave; SA&Uacute;DE";89
"M&eacute;dico veterin&aacute;rio";14
"Bi&oacute;logo";36
"BioM&eacute;dico";1
"Coordenador Pedag&oacute;gico";2
"F&iacute;sico (medicina)";4
"F&iacute;sico (nuclear e reatores)";1
"Neuropsic&oacute;logo";3
"Pedagogo";4
"Pesquisador em Biologia Ambiental Ecologi";2
"Preparador F&iacute;sico";1
"Professor de Educa&ccedil;&atilde;o Fisica Ensino Superior";2
"Professor de Educa&ccedil;&atilde;o Fisica Ensino M&eacute;dio";1
"Psicopedagogo";3
"Terapeuta ocupacional";15
