nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,tipo_de_rebanho_codigo,tipo_de_rebanho
6,Município,24,Cabeças,152950,3301009,Campos dos Goytacazes (RJ),1974,1974,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,18,3301009,Campos dos Goytacazes (RJ),1974,1974,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,5884,3301009,Campos dos Goytacazes (RJ),1974,1974,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,7386,3301009,Campos dos Goytacazes (RJ),1974,1974,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,690,3301009,Campos dos Goytacazes (RJ),1974,1974,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,2700,3301009,Campos dos Goytacazes (RJ),1974,1974,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,399950,3301009,Campos dos Goytacazes (RJ),1974,1974,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,95712,3301009,Campos dos Goytacazes (RJ),1974,1974,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,192842,3301009,Campos dos Goytacazes (RJ),1975,1975,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,24,3301009,Campos dos Goytacazes (RJ),1975,1975,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,5577,3301009,Campos dos Goytacazes (RJ),1975,1975,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,21579,3301009,Campos dos Goytacazes (RJ),1975,1975,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,859,3301009,Campos dos Goytacazes (RJ),1975,1975,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1930,3301009,Campos dos Goytacazes (RJ),1975,1975,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,485443,3301009,Campos dos Goytacazes (RJ),1975,1975,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,104769,3301009,Campos dos Goytacazes (RJ),1975,1975,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1975,1975,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,197085,3301009,Campos dos Goytacazes (RJ),1976,1976,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,124,3301009,Campos dos Goytacazes (RJ),1976,1976,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,6899,3301009,Campos dos Goytacazes (RJ),1976,1976,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,27082,3301009,Campos dos Goytacazes (RJ),1976,1976,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1976,1976,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,964,3301009,Campos dos Goytacazes (RJ),1976,1976,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,2279,3301009,Campos dos Goytacazes (RJ),1976,1976,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,502448,3301009,Campos dos Goytacazes (RJ),1976,1976,105,Efetivo dos rebanhos,32796,Galináceos - total
6,Município,24,Cabeças,105024,3301009,Campos dos Goytacazes (RJ),1976,1976,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1976,1976,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,199056,3301009,Campos dos Goytacazes (RJ),1977,1977,105,Efetivo dos rebanhos,2670,Bovino
