caminho_relativo;nome;extensao;tamanho_bytes;modificado_em;codificacao;separador;n_colunas;n_linhas_dados;smartlab;problema_leitura;sha256
artigos-fonte/Costa et al. - O trabalho em saúde.pdf;Costa et al. - O trabalho em saúde.pdf;.pdf;1921967;2026-07-18T10:27:41;;;;;NAO — nenhum arquivo SmartLab presente (etapa excluída por decisão metodológica);;c0ce8bb5e337ee972acad1cd24eb356317f307a6044dbbff6ca0353e68051ee3
artigos-fonte/Lemos - ESTRATIFICAÇÃO SOCIAL NA TEORIA DE MAX WEBER CONSIDERAÇÕES EM TORNO DO TEMA.pdf;Lemos - ESTRATIFICAÇÃO SOCIAL NA TEORIA DE MAX WEBER CONSIDERAÇÕES EM TORNO DO TEMA.pdf;.pdf;750309;2026-07-18T10:22:03;;;;;NAO — nenhum arquivo SmartLab presente (etapa excluída por decisão metodológica);;e9eda3dd787b0858942672398c4f2ee3433e21628b8afa026c2cc256cdcc5a23
artigos-fonte/Lourenço - 2012 - O fim do fim do trabalho.pdf;Lourenço - 2012 - O fim do fim do trabalho.pdf;.pdf;1281333;2026-07-18T10:22:32;;;;;NAO — nenhum arquivo SmartLab presente (etapa excluída por decisão metodológica);;0e0824f252ca037c26447d0dcf9982d4597608462883bf6e1a72aebed415b5c2
artigos-fonte/Oliveira - 2004 - TRANSFORMAÇÕES NO MUNDO DO TRABALHO, DA REVOLUÇÃO INDUSTRIAL AOS NOSSOS DIAS.pdf;Oliveira - 2004 - TRANSFORMAÇÕES NO MUNDO DO TRABALHO, DA REVOLUÇÃO INDUSTRIAL AOS NOSSOS DIAS.pdf;.pdf;268722;2026-07-18T10:22:20;;;;;NAO — nenhum arquivo SmartLab presente (etapa excluída por decisão metodológica);;2483661b3fd2d68e28a124c7655b02ef37460c3443a94526337e8842f4fe5287
artigos-fonte/README.md;README.md;.md;491;2026-07-18T12:07:39;;;;;NAO — nenhum arquivo SmartLab presente (etapa excluída por decisão metodológica);;f13911094c95b6122d440aed8f7ee5484457a4b3e1bbc87eeda92d8a71b8099a
artigos-fonte/ricardo antunes.pdf;ricardo antunes.pdf;.pdf;2099451;2026-07-18T10:13:17;;;;;NAO — nenhum arquivo SmartLab presente (etapa excluída por decisão metodológica);;ad2d3a460f704a1dce6c2640cffea08befa0983f2632453f0bd3f165fe4ff306
cat-inss/D.SDA.PDA.005.CAT.202101.csv;D.SDA.PDA.005.CAT.202101.csv;.csv;61565812;2026-07-18T10:51:56;latin-1;";";24;105240;NAO — nenhum arquivo SmartLab presente (etapa excluída por decisão metodológica);;255b4ed696363c6859ad15ecb17c55bc9f7d15c0ba76428d63ae2fe57c682892
cat-inss/D.SDA.PDA.005.CAT.202104.csv;D.SDA.PDA.005.CAT.202104.csv;.csv;69055567;2026-07-18T10:51:56;latin-1;";";24;118043;NAO — nenhum arquivo SmartLab presente (etapa excluída por decisão metodológica);;c05423e3efd69bc6404c8688b2ab4366aea33f5b184c78948d3c93a972552f80
cat-inss/D.SDA.PDA.005.CAT.202107.csv;D.SDA.PDA.005.CAT.202107.csv;.csv;68623252;2026-07-18T10:51:59;latin-1;";";24;117304;NAO — nenhum arquivo SmartLab presente (etapa excluída por decisão metodológica);;adc7ee2ea3d89699b19565ec60808f9eb0ad230a897fe2c2ac301039dab9cbd7
cat-inss/D.SDA.PDA.005.CAT.202110.csv;D.SDA.PDA.005.CAT.202110.csv;.csv;55935187;2026-07-18T10:51:55;latin-1;";";24;95615;NAO — nenhum arquivo SmartLab presente (etapa excluída por decisão metodológica);;4cacf37084377a3aead21b9294bacec408f3089a1d546ad724f9aa2e6583a497
