dataset;arquivo;url;sha256;tamanho_bytes;registros_campos;data_download
cat;CAT_de_Julho_a_Dezembro_de_2012.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/PDA_2023_2025/Grupos_de_dados/Comunica%C3%A7%C3%B5es+de+Acidente+de+Trabalho+%E2%80%93+CAT/CATS+EMITIDAS_JULHO+A+DEZEMBRO_2012.xlsx;f004ca85d6b26db673f606e2d51e0351079a4b3f60855c22ebf4cac4e47d3e2c;2339135;546;2026-07-21 18:10:42
cat;CAT_de_Janeiro_a_Março_de_2019.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/cat2018-comp01-02-03-2019.csv;96331929c214d6912d21d00b8c57eb7ed14abd8b4856474fd15ecd5394fecbf7;40216;137;2026-07-21 18:10:55
cat;CAT_de_abril_a_junho_de_2019.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/cat-comp04-05-06-2019.csv;9036dfda9899509a950e2f94110124e839609c8cd0a7f1f91e410df2de4a5795;53998;185;2026-07-21 18:11:05
cat;CAT_de_julho_a_setembro_de_2019.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/cat-comp07-08-09-2019.csv;e35f6d39ca8ca5cce75654a1e3f2a44f7c310ac25975955bf90a0994155d3b52;48291;166;2026-07-21 18:11:17
cat;CAT_de_outubro_a_dezembro_de_2019.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/cat-comp10-11-12-2019.csv;5f956292f4d78bb9cc0f2ccf39d995c204bfdae94b68822fbe15c02add2a4130;38740;133;2026-07-21 18:11:27
cat;CAT_janeiro_a_março_de_2020.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/cat-comp01-02-03-2020.csv;cf894ca60d3e81625fa40626776424785d28cad964dddc8b28e762db69a1735b;30735;105;2026-07-21 18:11:42
cat;Cat_abril_a_junho_2020.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/cat-competencia-04-05-06-2020.csv;50d37ac7ea9aa150f80ed6ca343343b0102f5c1141ee89a7f1db6e38666049fa;29059;97;2026-07-21 18:11:50
cat;CAT_julho_a_setembro_de_2020.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/cat-competencia-07-08-09-2020.csv;3122f082495b92d22546ca888999b0385b315ba07c11c2534edb5aaf45cae8f0;47131;159;2026-07-21 18:12:01
cat;Dicionário_de_dados_da_CAT.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/dicionario-cat-dados-abertos-10-02-2021.xlsx;d1b174103589182d4e4907d7680d6a751559e7c75fa6afe16fb0694ab46176b6;37;0;2026-07-21 18:12:02
cat;CAT_de_outubro_a_dezembro_de_2020.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/cat-comp10-11-12-2020.csv;7a70c6518dc1afac19dc581b06f1f9d2b85597d2e3e3cfe9659860d716f21788;44055;148;2026-07-21 18:12:13
cat;CAT_de_janeiro_a_março_de_2021.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/cat-comp-01-02-03-2021.zip;a776db59beba1ef28da3a31300ffe3759d48b906eb9e4441a325c9be18b6b6aa;61914;164;2026-07-21 18:12:21
cat;CAT_de_abril_a_junho_de_2021.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/cat-copmp-04-05-06.zip;71d5086e479d098b6676ab0dbd76f83e9ae7172e6c324a5f6914942c9026d4ca;66251;177;2026-07-21 18:12:28
cat;CAT_de_julho_a_setembro_de_2021.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202107.ZIP;fb41ec5b035f404db789af801f724dfd689e5d20fb71e626af2b009cfa65e6eb;63987;171;2026-07-21 18:12:37
cat;CAT_de_outubro_a_dezembro_de_2021.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202110.ZIP;3b3e79aee833203591f3ab33fccf72ad337f3c2ad16ccec241e93bbc4560fd20;69397;185;2026-07-21 18:12:44
cat;CAT_de_janeiro_a_março_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202201.ZIP;f8acbe7bc4e9f5139713286b922ce00a9f6ce7e21324e45fa0006644c5384eba;48298;128;2026-07-21 18:13:00
cat;CAT_de_abril_a_junho_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202204.ZIP;8837226f37c5c9d9bafcce610949aedb89e1350876923fead35d70def5bbff9e;21315;56;2026-07-21 18:13:05
cat;CAT_Julho_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202207.ZIP;305478aff9f251145c50925b7c2cba812dbb04cfacbb53c6c2bc7e53926d8e77;87463;231;2026-07-21 18:13:17
cat;CAT_Agosto_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202208.ZIP;38bab856dcc7a75a466b47b408d171b19d35f5f34bf3487be5c7cfa7bfb857a4;63513;167;2026-07-21 18:13:24
cat;CAT_Setembro_de_2022.csv;https://armazenamento-dadosabertos.s3.sa-east-1.amazonaws.com/Plano+2016_2018_Grupos+de+dados/INSS+-+Comunica%C3%A7%C3%A3o+de+Acidente+de+Trabalho+-+CAT/D.SDA.PDA.005.CAT.202209.ZIP;0b05464f0f12cc92de44531ef3ab80418ac8d22b6cb2191d474e2e0721c4354d;41243;108;2026-07-21 18:13:29
