id_linha;municipio;uf
D.SDA.PDA.005.CAT.202201.csv:6;330100-Campos dos Goytacazes;São Paulo
D.SDA.PDA.005.CAT.202201.csv:191;330100-Campos dos Goytacazes;São Paulo
D.SDA.PDA.005.CAT.202201.csv:5154;330100-Campos dos Goytacazes;Rio Grande do Sul
D.SDA.PDA.005.CAT.202201.csv:11850;330100-Campos dos Goytacazes;São Paulo
D.SDA.PDA.005.CAT.202201.csv:24562;330100-Campos dos Goytacazes;São Paulo
D.SDA.PDA.005.CAT.202201.csv:50756;330100-Campos dos Goytacazes;São Paulo
D.SDA.PDA.005.CAT.202201.csv:98829;330100-Campos dos Goytacazes;São Paulo
D.SDA.PDA.005.CAT.202207.csv:26586;330100-Campos dos Goytacazes;Rio Grande do Sul
D.SDA.PDA.005.CAT.202207.csv:83491;330100-Campos dos Goytacazes;São Paulo
D.SDA.PDA.005.CAT.202207.csv:101478;330100-Campos dos Goytacazes;São Paulo
D.SDA.PDA.005.CAT.202207.csv:135365;330100-Campos dos Goytacazes;Goiás
D.SDA.PDA.005.CAT.202207.csv:162535;330100-Campos dos Goytacazes;Paraná
