municipio_empregador_bruto;n_registros
500270-Campo Grande-;17026
354870-São Bernardo do Campo;11122
500270-Campo Grande-Ms;8239
354990-São José dos Campos;6154
410420-Campo Largo;4096
330100-Campos dos Go;3821
410430-Campo Mourão;2720
330100-Campos dos Goytacazes;1802
430390-Campo Bom;1647
420360-Campos Novos;1576
510267-Campo Verde;1226
350960-Campo Limpo P;799
510263-Campo Novo do;676
350970-Campos do Jor;657
311120-Campo Belo;590
270140-Campo Alegre-;539
410425-Campo Magro;417
420330-Campo Alegre-;380
350960-Campo Limpo Paulista;360
510268-Campos de Júl;342
270140-Campo Alegre-Al;341
510263-Campo Novo do Parecis;291
420330-Campo Alegre-Sc;259
350970-Campos do Jordão;251
311140-Campo Florido;240
270860-São Miguel dos Campos;224
292930-São Gonçalo dos Campos;181
314015-Mário Campos;180
510268-Campos de Júlio;135
311160-Campos Gerais;126
290600-Campo Formoso;126
420350-Campo Erê;124
410410-Campo do Tene;92
220220-Campo Maior;91
314050-Martinho Campos;87
350630-Bernardino de Campos;80
410410-Campo do Tenente;77
412660-Siqueira Campos;73
520480-Campo Alegre;69
170384-Campos Lindos;64
430400-Campo Novo;56
421450-Rio do Campo;56
420340-Campo Belo do;54
520485-Campo Limpo d;53
310030-Abre Campo;47
520480-Campo Alegre de Goiás;41
311130-Campo do Meio;37
311150-Campos Altos;35
520490-Campos Belos;32
520485-Campo Limpo de Goiás;31
430410-Campos Borges;29
312300-Dores de Campos;20
230270-Campos Sales;19
110070-Campo Novo de;19
280100-Campo do Brit;19
420340-Campo Belo do Sul;16
410405-Campo Bonito;16
350980-Campos Novos;14
520495-Campos Verdes;10
290590-Campo Alegre de Lourdes;9
290590-Campo Alegre;9
350980-Campos Novos Paulista;7
280100-Campo do Brito;7
431237-Monte Alegre dos Campos;5
210600-Lima Campos;5
110070-Campo Novo de Rondônia;4
311115-Campo Azul;3
290350-Belo Campo;3
350180-Américo de Campos;2
220211-Campo Alegre do Fidalgo;2
220213-Campo Grande do Piauí;1
210500-Humberto de Campos;1
