hash_registro;ocorrencias;localizacoes
57bcfa2a08d09e0a9a0b64d08788c9dd1ffbc02ccb3a676f04e909d7480ca6d9;2;D.SDA.PDA.005.CAT.202104.csv:36732 | D.SDA.PDA.005.CAT.202104.csv:36733
b51cb9f008b5b585ccf53ccdbc3ec81433a0c9fff7f7c3a39a7d38fa4e6a3a44;2;D.SDA.PDA.005.CAT.202104.csv:44867 | D.SDA.PDA.005.CAT.202104.csv:44868
f20a7866ad814598e8b6a910713eb3fe20278bfb79d1f4fc430c1b9ec0482f30;2;D.SDA.PDA.005.CAT.202201.csv:62680 | D.SDA.PDA.005.CAT.202204.csv:142
aee08648e47a7c14cc43ee09ba05f32b8d591ae4f3094790610b03c89258b65a;2;D.SDA.PDA.005.CAT.202201.csv:62699 | D.SDA.PDA.005.CAT.202204.csv:161
b11d7b4c8471b37b26632921ab6cbf98be2553b7f063415ae6d369613c8487d9;2;D.SDA.PDA.005.CAT.202201.csv:62789 | D.SDA.PDA.005.CAT.202204.csv:251
6ced857bb717156a15c862cc934b783ce28a9eb0988fa382853f866738f3d358;2;D.SDA.PDA.005.CAT.202201.csv:62900 | D.SDA.PDA.005.CAT.202204.csv:362
e6dd17a1dd17820215ecb54722d568f709000a9ab92e801ac73a813041f230e9;2;D.SDA.PDA.005.CAT.202201.csv:63092 | D.SDA.PDA.005.CAT.202204.csv:554
1ce0b8adeb7eb5cb172fb77fa7cab7fd57d2ee8827d95266fe8043830fbf91ad;2;D.SDA.PDA.005.CAT.202201.csv:63121 | D.SDA.PDA.005.CAT.202204.csv:583
2d3bc816da930e1a9cac25874d7ea92f526906d35a91162d81283ef99be7e1ec;2;D.SDA.PDA.005.CAT.202201.csv:63328 | D.SDA.PDA.005.CAT.202204.csv:790
c1b17a0deb0bc6fea6122bdf5ec0b6d12e5f33d5979688b72a2edd0e50c57768;2;D.SDA.PDA.005.CAT.202201.csv:63428 | D.SDA.PDA.005.CAT.202204.csv:890
fd34f6cac7e1a1fdd6b9c97ec76f85d607af0e1f2a2e121e0b83a0ab784a3e2d;2;D.SDA.PDA.005.CAT.202201.csv:63445 | D.SDA.PDA.005.CAT.202204.csv:907
