arquivo;esquema;codificacao;n_colunas;linhas_dados;linhas_malformadas;meses_emissao;meses_acidente_top
D.SDA.PDA.005.CAT.202101.csv;S24A;latin-1;24;105240;0;"{""2021-01"": 29346, ""2021-02"": 35724, ""2021-03"": 40170}";"{""2021-01"": 36946, ""2021-02"": 35886, ""2021-03"": 32407}"
D.SDA.PDA.005.CAT.202104.csv;S24A;latin-1;24;118043;0;"{""2021-04"": 37300, ""2021-05"": 40589, ""2021-06"": 40154}";"{""2021-01"": 681, ""2021-02"": 1097, ""2021-03"": 6975, ""2021-04"": 37042, ""2021-05"": 40065, ""2021-06"": 32183}"
D.SDA.PDA.005.CAT.202107.csv;S24A;latin-1;24;117304;0;"{""2021-07"": 42792, ""2021-08"": 45017, ""2021-09"": 29495}";"{""2021-01"": 266, ""2021-02"": 259, ""2021-03"": 436, ""2021-04"": 507, ""2021-05"": 1044, ""2021-06"": 7173, ""2021-07"": 42222, ""2021-08"": 42927, ""2021-09"": 22470}"
D.SDA.PDA.005.CAT.202110.csv;S24A;latin-1;24;95615;0;"{""2021-10"": 36486, ""2021-11"": 30474, ""2021-12"": 28655}";"{""2021-01"": 375, ""2021-02"": 360, ""2021-03"": 198, ""2021-04"": 202, ""2021-05"": 343, ""2021-06"": 358, ""2021-07"": 473, ""2021-08"": 1124, ""2021-09"": 8415, ""2021-10"": 33477, ""2021-11"": 28372, ""2021-12"": 21918}"
D.SDA.PDA.005.CAT.202201.csv;S24A;latin-1;24;152140;0;"{""0000-00"": 50931, ""2022-03"": 51520, ""2022-06"": 49689}";"{""2022-01"": 17891, ""2022-02"": 22961, ""2022-03"": 51210, ""2022-04"": 7791, ""2022-05"": 12828, ""2022-06"": 39459}"
D.SDA.PDA.005.CAT.202204.csv;S24A;latin-1;24;89602;0;"{""0000-00"": 39913, ""2022-06"": 49689}";"{""2022-01"": 9647, ""2022-02"": 9656, ""2022-03"": 10221, ""2022-04"": 7791, ""2022-05"": 12828, ""2022-06"": 39459}"
D.SDA.PDA.005.CAT.202207.csv;S24A;latin-1;24;173344;0;"{""2022-07"": 49902, ""2022-08"": 53197, ""2022-09"": 44222, ""2022-10"": 20911, ""2022-11"": 5112}";"{""2022-01"": 645, ""2022-02"": 601, ""2022-03"": 794, ""2022-04"": 1069, ""2022-05"": 2027, ""2022-06"": 10360, ""2022-07"": 49611, ""2022-08"": 49850, ""2022-09"": 37910, ""2022-10"": 17452, ""2022-11"": 3025}"
D.SDA.PDA.005.CAT.202208.csv;S24A;latin-1;24;123442;0;"{""2022-08"": 53197, ""2022-09"": 44222, ""2022-10"": 20911, ""2022-11"": 5112}";"{""2022-01"": 469, ""2022-02"": 416, ""2022-03"": 520, ""2022-04"": 639, ""2022-05"": 1023, ""2022-06"": 1900, ""2022-07"": 10238, ""2022-08"": 49850, ""2022-09"": 37910, ""2022-10"": 17452, ""2022-11"": 3025}"
D.SDA.PDA.005.CAT.202209.csv;S24A;latin-1;24;70245;0;"{""2022-09"": 44222, ""2022-10"": 20911, ""2022-11"": 5112}";"{""2022-01"": 213, ""2022-02"": 213, ""2022-03"": 249, ""2022-04"": 252, ""2022-05"": 438, ""2022-06"": 568, ""2022-07"": 1168, ""2022-08"": 8757, ""2022-09"": 37910, ""2022-10"": 17452, ""2022-11"": 3025}"
D.SDA.PDA.005.CAT.202210.csv;S24A;latin-1;24;26023;0;"{""2022-10"": 20911, ""2022-11"": 5112}";"{""2022-01"": 108, ""2022-02"": 87, ""2022-03"": 83, ""2022-04"": 88, ""2022-05"": 137, ""2022-06"": 177, ""2022-07"": 292, ""2022-08"": 577, ""2022-09"": 3997, ""2022-10"": 17452, ""2022-11"": 3025}"
