dimensao;valor;indicador;fonte
Oportunidades de Emprego;8,8MIL;CONTRATOS INICIADOS;
Oportunidades de Emprego;8,4MIL;CONTRATOS ENCERRADOS;
Oportunidades de Emprego;337;SALDO DE EMPREGOS CELETISTAS (CLT);(ME – NOVO CAGED , 1º TRIMESTRE 2026)
Oportunidades de Emprego;64,6%;TAXA DE FORMALIDADE;(IBGE - Censo Demográfico, 2010)
Oportunidades de Emprego;22,6%;JOVENS QUE NÃO ESTUDAVAM NEM ESTAVAM OCUPADOS;(IBGE - Censo Demográfico, 2010)
Oportunidades de Emprego;19.688;NÚMERO DE MICROEMPREENDEDORES INDIVIDUAIS;(Portal do Empreendedor-MEI, 2017)
Oportunidades de Emprego;337;SALDO NO PERÍODO;
Jornada de Trabalho Decente;26,8%;POPULAÇÃO DE 16 A 64 ANOS OCUPADA COM JORNADA ACIMA DE 44 HORAS POR SETOR;(IBGE - Censo Demográfico, 2010)
Jornada de Trabalho Decente;26,8%;PESSOAS COM JORNADA;
Jornada de Trabalho Decente;29,3%;PROPORÇÃO NA UF;
Conciliacao Trabalho-Vida;69,7%;POPULAÇÃO DE 16 A 64 ANOS OCUPADA QUE SE DESLOCA ENTRE CASA-TRABALHO SOBRE O TOTAL DA POPULAÇÃO DE 16 A 64 ANOS;(IBGE - Censo Demográfico, 2010)
Conciliacao Trabalho-Vida;39,6%;MULHERES DE 16 A 49 ANOS OCUPADAS COM FILHOS DE 0 A 3 ANOS EM RELAÇÃO À FREQUÊNCIA A CRECHE - NENHUM FILHO FREQUENTA CRECHE;(IBGE - Censo Demográfico, 2010)
Conciliacao Trabalho-Vida;3,6%;MULHERES DE 16 A 49 ANOS OCUPADAS COM FILHOS DE 4 A 6 ANOS EM RELAÇÃO À FREQUÊNCIA A CRECHE - NENHUM FILHO FREQUENTA CRECHE;(IBGE - Censo Demográfico, 2010)
Conciliacao Trabalho-Vida;3.434;TRABALHADORAS COM FILHOS DE 0 A 3 ANOS QUE NÃO FREQUENTAM CRECHE;
Conciliacao Trabalho-Vida;300;TRABALHADORAS COM FILHOS DE 4 A 6 ANOS QUE NÃO FREQUENTAM CRECHE;
Conciliacao Trabalho-Vida;5.239;TRABALHADORAS COM FILHOS DE 0 A 3 ANOS QUE FREQUENTAM CRECHE;
Conciliacao Trabalho-Vida;7.972;TRABALHADORAS COM FILHOS DE 4 A 6 ANOS QUE FREQUENTAM CRECHE;
Conciliacao Trabalho-Vida;96,4%;Em destaque, o número de mulheres ocupadas, em 2010, de 16 a 49 anos de idade, que possuíam crianças de 0 a 3, ou de 4 a 6 anos de idade, ou seja, que deveriam ter acesso à creche ou à pré-escola. Em destaque também a quantidade de trabalhadoras com crianças, no momento do recenseamento, que possuíam efetivamente acesso, ou não, à creche. Os gráficos complementam essas informações ao mostrar os valores relativos de cobertura de acesso à creche para ambas as faixas etárias das crianças. Esta informação é relevante porque o acesso a creche é um dos principais facilitadores da conciliação entre trabalho e vida pessoal para mulheres, junto com a participação ativa de pais ou cônjuges nos afazeres domésticos e no cuidado reprodutivo. Além disso, do ponto de vista prático, o acesso a creche é um serviço que, fundamentalmente, permite o acesso de mulheres com filhos ou filhas, em domicílios monoparentais, ao mercado de trabalho.;
Conciliacao Trabalho-Vida;69,7%;SE DESLOCAM;
Conciliacao Trabalho-Vida;73,6%;DESLOCAMENTO NA UF;
Conciliacao Trabalho-Vida;46,8%;DESLOCAMENTO NO PAÍS;
Estabilidade e Seguranca;297;VÍNCULOS DE EMPREGO - ADMISSÕES - TRABALHO INTERMITENTE;(ME – Novo CAGED, 1º Trimestre 2026)
Estabilidade e Seguranca;105;VÍNCULOS DE EMPREGO - ADMISSÕES - TEMPO PARCIAL;(ME – Novo CAGED, 1º Trimestre 2026)
Estabilidade e Seguranca;25,9%;VÍNCULOS EMPREGATÍCIOS - ATÉ 1 ANO;(ME - RAIS, 2015)
Estabilidade e Seguranca;36,2%;VÍNCULOS EMPREGATÍCIOS - ATÉ 1 ANO;(ME - RAIS, 2003)
Estabilidade e Seguranca;297;ADMISSÕES;
Estabilidade e Seguranca;216;DESLIGAMENTOS;
Estabilidade e Seguranca;10,8MIL;ADMISSÕES NA UF;
Estabilidade e Seguranca;98,4MIL;ADMISSÕES NO BRASIL;
Estabilidade e Seguranca;105;ADMISSÕES;
Estabilidade e Seguranca;71;DESLIGAMENTOS;
Estabilidade e Seguranca;4,9MIL;ADMISSÕES NA UF;
Estabilidade e Seguranca;63,3MIL;ADMISSÕES NO BRASIL;
Igualdade de Oportunidades;64,3%;HOMENS EM CARGO DE DIREÇÃO;(IBGE - Censo Demográfico, 2010)
Igualdade de Oportunidades;35,7%;MULHERES EM CARGO DE DIREÇÃO;(IBGE - Censo Demográfico, 2010)
Igualdade de Oportunidades;14MIL;POPULAÇÃO OCUPADA COMO TRABALHADOR DOMÉSTICO;(IBGE - Censo Demográfico, 2010)
Igualdade de Oportunidades;35,7%;TRABALHADORES DOMÉSTICOS COM CARTEIRA ASSINADA;(IBGE - Censo Demográfico, 2010)
Igualdade de Oportunidades;99%;EQUIVALÊNCIA EM % DO RENDIMENTO MÉDIO;
Igualdade de Oportunidades;100%;HOMENS BRANCOS;
Igualdade de Oportunidades;92,8%;MULHERES BRANCAS;
Igualdade de Oportunidades;91,4%;HOMENS NEGROS;
Igualdade de Oportunidades;81,9%;MULHERES NEGRAS;
