APRZ_23_002;APRZ_23_003;APRZ_23_004;_endpoint;_modulo;cd_dimensao;cd_indicador;cd_mun_ibge;cd_municipio_ibge_dv;cd_uf;ds_agreg_primaria;ds_agreg_secundaria;ds_fonte;ds_indicador;ds_indicador_completo;ds_indicador_curto;ds_indicador_prefixo;ds_indicador_radical;media_br;media_uf;nm_municipio;nm_municipio_uf;nm_uf;nu_competencia;nu_competencia_max;nu_competencia_min;pct_br;pct_uf;rank_br;rank_br_total;rank_uf;rank_uf_total;spai_ds;vl_indicador;vl_indicador_br;vl_indicador_txt;vl_indicador_uf
;;;indicadoresmunicipais;trabalhoinfantil;;CEMPRE_00_18;3301009;;33;Saúde humana e serviços sociais;;IBGE - CEMPRE;Empresas e outras organizações, por seção da classificação de atividades (CNAE 2.0) - Saúde humana e serviços sociais;Empresas e outras organizações, por seção da classificação de atividades (CNAE 2.0) - Saúde humana e serviços sociais;Empresas e Organizações por setor;(Quantidade);Empresas e outras organizações, por seção da classificação de atividades (CNAE 2.0) - Saúde humana e serviços sociais;51.568541300527244;225.65934065934067;;Campos dos Goytacazes/RJ;Rio de Janeiro;2018;2018;2018;0.23515378716878246;2.6880934989043097;53;5570;3;92;;552;234740;;20535
;;;indicadoresmunicipais;trabalhoinfantil;4;04_03_10_00;3301009;;33;Transporte, armazenagem e comunicação;;IBGE - Censo Demográfico;Média de horas semanais trabalhadas pela população ocupada de 16 a 64 anos de idade (Horas) - Distribuição por setor de atividade econômica - Transporte, armazenagem e comunicação;null;Horas semanais trabalhadas pela População de 16 a 64 anos ocupada;(média de horas);Horas semanais trabalhadas pela População de 16 a 64 anos ocupada por setor - Transporte, armazenagem e comunicação;44.05415992812215;45.18695652173912;;Campos dos Goytacazes/RJ;Rio de Janeiro;2010;2010;2010;0.017865781481097777;1.0535937650341578;3037;5565;63;92;;43.8;;;43.3
;;;indicadoresmunicipais;trabalhoinfantil;;SIT_TI_CNAE;3301009;;33;Restaurantes e outros serviços de alimentação e bebidas;;Secretaria de Inspeção do Trabalho - Ministério do Trabalho e Emprego;;Crianças e Adolescentes encontrados em situação de trabalho infantil;Crianças e Adolescentes encontrados em situação de trabalho infantil;(Quantidade);;7.35;1.75;;Campos dos Goytacazes/RJ;Rio de Janeiro;2024;2024;2017;0.17006802721088435;14.285714285714285;50;5570;3;92;;1;588;;7
;;;indicadoresmunicipais;trabalhoinfantil;;JD_RAIS_21_VL_MULHER;3301009;;33;MULHER;;ME - RAIS;Remuneração de Empregados (CLT) por Sexo - MULHER;;Remuneração de Empregados (CLT) por Sexo;;Remuneração de Empregados (CLT) por Sexo - MULHER;1544.0814674588134;1736.6437967801887;;Campos dos Goytacazes/RJ;Rio de Janeiro;2018;2019;2017;0.02185642294960058;1.1765378821358534;869;5570;19;92;;1879.76903751308;2302.51;;2551.549381607628
;;;indicadoresmunicipais;trabalhoinfantil;8;08_12_13_00;3301009;;33;;;IBGE - Pesquisa de Informações Municipais;"Existência de Legislação municipal que dispõe sobre discriminação de lésbicas, gays, bissexuais, travestis e transexuais (Sim = 1; Não = 0) - LGBTT";null;Legislação municipal sobre discriminação de lésbicas, gays, bissexuais, travestis e transexuais - LGBTT;(Sim/Não);Existência de Legislação municipal sobre discriminação de lésbicas, gays, bissexuais, travestis e transexuais - LGBTT;0.15569938870909744;0.2826086956521739;;Campos dos Goytacazes/RJ;Rio de Janeiro;2011;2011;2011;0.11547344110854503;3.8461538461538463;1;5565;1;92;;1;;;
;;;indicadoresmunicipais;trabalhoinfantil;6;06_01_01_27;3301009;;33;Homens;10 a 13 anos;IBGE - Censo Demográfico;Nível de ocupação desta população em relação à população ocupada (Percentual), na semana de referência - Homens (10 a 13 anos);null;Nível de ocupação em relação à população ocupada;(Percentual);Nível de ocupação em relação à população ocupada - Homens - 10 a 13 anos;9.410386343216524;3.418478260869566;;Campos dos Goytacazes/RJ;Rio de Janeiro;2010;2010;2010;0.004391928018209318;0.7313195548489664;4780;5565;51;92;;2.3;;;2.5
;;;indicadoresmunicipais;trabalhoinfantil;6;06_04_01_05;3301009;;33;Declarações de que trabalha - 3 horas;;MEC - INEP;Trabalho Infantil - Prova Brasil (9 ano)- Trabalho Doméstico - Declarações de que trabalha - 3 horas;null;Prova Brasil (9 ano) - Trabalho Doméstico;(Quantidade);Trabalho Infantil - Prova Brasil (9 ano)- Trabalho Doméstico - Declarações de que trabalha - 3 horas;37.997063681409436;131.30434782608697;;Campos dos Goytacazes/RJ;Rio de Janeiro;2009;2017;2009;0.16324874665533262;2.7980132450331126;75;5565;7;92;;338;207046;;12080
;;;indicadoresmunicipais;trabalhoinfantil;;MIGRA_ATIVOS_CONTRATADOS;3301009;;33;Outros não informados;;Relação Anual de Informações Sociais (RAIS;;Contratação de Migrantes de Outras Nacionalidades no Mercado de Trabalho Formal Brasileiro;;;;6.801470588235294;17.074074074074073;;Campos dos Goytacazes/RJ;Rio de Janeiro;2005;2019;2000;0.18018018018018017;1.0845986984815619;71;5565;9;92;;5;2654;Até 10;450
;;;indicadoresmunicipais;trabalhoinfantil;7;06_02_04_40;3301009;;33;;;MT - COETE;Trabalho Escravo - Operações de Combate - Operações;null;Trabalho Escravo - Operações de Combate - Operações;(Quantidade);Trabalho Escravo - Operações de Combate - Operações;1.3758389261744965;1;;Campos dos Goytacazes/RJ;Rio de Janeiro;2010;2018;1995;0.4878048780487805;33.33333333333333;35;5565;1;92;;1;;;
;;;indicadoresmunicipais;trabalhoinfantil;2;02_02_13_00;3301009;;33;Brancos;;IBGE - Censo Demográfico;Nível de ocupação da População de 16 a 64 anos de idade (Percentual) - Brancos;null;Nível de ocupação da População de 16 a 64 anos;(Percentual);Nível de ocupação da População de 16 a 64 anos - Brancos;64.07761006289307;63.324999999999996;;Campos dos Goytacazes/RJ;Rio de Janeiro;2010;2010;2010;0.01651748118787892;1.011002591874217;3885;5565;81;92;;58.9;;;63.9
