Código;Descrição;Dotação Inicial;Alt. de Dotação;Dotação Atualizada;Valor Empenhado;Valor Liquidado;Valor Pago
020201;GABINETE DO PREFEITO;376.177,38;306.064,00;682.241,38;662.813,55;662.813,55;662.813,55
020203;GUARDA MUNICIPAL;712.492,45;-353.000,00;359.492,45;47.425,90;47.425,90;47.425,90
020205;CIDAC-CENTRO DE INFORMACAO E DADOS DE CAMPOS;1.031.090,36;-305.325,41;725.764,95;465.050,00;465.050,00;465.050,00
020208;SUPERINTENDENCIA DE ENTRETENIMENTO E LAZER;1.496.668,69;181.814,00;1.678.482,69;1.443.066,25;1.443.066,25;1.443.066,25
020301;PROCURADORIA GERAL DO MUNICIPIO;29.598.666,63;-4.654.529,00;24.944.137,63;5.594.588,04;5.594.588,04;5.594.588,04
020401;SECRETARIA MUNICIPAL DE GOVERNO;134.573,69;0,00;134.573,69;1.930,85;1.930,85;1.930,85
020601;SECRETARIA MUNICIPAL DE GESTAO PUBLICA;194.749.844,28;78.296.535,54;273.046.379,82;207.362.856,50;207.362.856,50;188.581.636,17
020603;SUPERINTENDENCIA DE COMUNICACAO;815.600,11;-370.000,00;445.600,11;45.718,25;45.718,25;45.718,25
020701;SECRETARIA MUNICIPAL DE AGRICULTURA;5.843.089,37;-2.106.732,90;3.736.356,47;508.381,76;508.381,76;508.381,76
021001;SECRETARIA MUN.DE EDUCACAO, CULTURA E ESPORTE;344.878.048,59;-13.439.791,66;331.438.256,93;311.277.034,91;311.277.034,91;305.753.836,59
021101;SECRETARIA MUNICIPAL DE FAZENDA;146.857.985,01;-30.968.378,70;115.889.606,31;56.511.799,22;56.511.799,22;44.440.216,03
021401;SECRETARIA MUN DE DESENVOLVIMENTO AMBIENTAL;1.129.165,44;-645.135,75;484.029,69;29.051,00;29.051,00;29.051,00
021402;SUPERINTENDENCIA DE LIMPEZA PUBLICA;50.641.157,75;9.237.503,85;59.878.661,60;53.315.771,50;53.315.771,50;48.596.070,57
021501;SECRETARIA MUN. DE INFRA. E MOBILIDADE URBANA;16.019.628,87;59.047,03;16.078.675,90;11.134.455,44;11.134.455,44;11.102.865,63
021502;SUPERINTENDENCIA DE ILUMINACAO PUBLICA;38.163.664,45;3.225.384,12;41.389.048,57;40.194.546,48;40.194.546,48;40.194.546,48
021702;SUPERINTENDENCIA DE JUSTICA E ASSIST.JUDICIAR;53.319,39;54.000,00;107.319,39;67.500,00;67.500,00;67.500,00
021704;COORDENADORIA DE DEFESA CIVIL;65.786,56;0,00;65.786,56;16.000,00;16.000,00;16.000,00
023701;SECRETARIA MUN. DA TRANSPARENCIA E CONTROLE;8.654.630,72;-1.167.297,17;7.487.333,55;4.791.082,93;4.791.082,93;4.741.447,56
024801;SECRETARIA MUNICIPAL DE SEGURANÇA PÚBLICA;155.368,95;0,00;155.368,95;17.494,63;17.494,63;17.494,63
;;;;;693.486.567,21;693.486.567,21;652.309.639,26
