Nível;Indicador;2024;Unidade
1;Unidades locais;18159;unidades
1.1;Classificação Nacional de Atividades Econômicas - CNAE;;
1.1.1;Administração pública, defesa e seguridade social;113;unidades
1.1.2;Agricultura, pecuária, produção florestal, pesca e aquicultura;134;unidades
1.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;49;unidades
1.1.4;Alojamento e alimentação;915;unidades
1.1.5;Artes, cultura, esporte e recreação;299;unidades
1.1.6;Atividades administrativas e serviços complementares;1806;unidades
1.1.7;Atividades financeiras, de seguros e serviços relacionados;293;unidades
1.1.8;Atividades imobiliárias;332;unidades
1.1.9;Atividades profissionais, científicas e técnicas;1262;unidades
1.1.10;Comércio; reparação de veículos automotores e motocicletas;6237;unidades
1.1.11;Construção;1248;unidades
1.1.12;Educação;590;unidades
1.1.13;Eletricidade e gás;40;unidades
1.1.14;Indústrias de transformação;903;unidades
1.1.15;Indústrias extrativas;65;unidades
1.1.16;Informação e comunicação;384;unidades
1.1.17;Organismos internacionais e outras instituições extraterritoriais;;unidades
1.1.18;Outras atividades de serviços;1323;unidades
1.1.19;Saúde humana e serviços sociais;1544;unidades
1.1.20;Transporte, armazenagem e correio;622;unidades
2;Número de empresas e outras organizações atuantes;16776;unidades
3;Pessoal ocupado;114466;pessoas
3.1;Classificação Nacional de Atividades Econômicas - CNAE;;
3.1.1;Administração pública, defesa e seguridade social;12218;pessoas
3.1.2;Agricultura, pecuária, produção florestal, pesca e aquicultura;807;pessoas
3.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;1367;pessoas
3.1.4;Alojamento e alimentação;6676;pessoas
3.1.5;Artes, cultura, esporte e recreação;982;pessoas
3.1.6;Atividades administrativas e serviços complementares;9881;pessoas
3.1.7;Atividades financeiras, de seguros e serviços relacionados;1835;pessoas
3.1.8;Atividades imobiliárias;856;pessoas
3.1.9;Atividades profissionais, científicas e técnicas;4545;pessoas
3.1.10;Comércio; reparação de veículos automotores e motocicletas;28650;pessoas
3.1.11;Construção;5786;pessoas
3.1.12;Educação;9194;pessoas
3.1.13;Eletricidade e gás;459;pessoas
3.1.14;Indústrias de transformação;7018;pessoas
3.1.15;Indústrias extrativas;230;pessoas
3.1.16;Informação e comunicação;2300;pessoas
3.1.17;Organismos internacionais e outras instituições extraterritoriais;;pessoas
3.1.18;Outras atividades de serviços;2500;pessoas
3.1.19;Saúde humana e serviços sociais;15002;pessoas
3.1.20;Transporte, armazenagem e correio;4160;pessoas
4;Pessoal ocupado assalariado;93366;pessoas
4.1;Classificação Nacional de Atividades Econômicas - CNAE;;
4.1.1;Administração pública, defesa e seguridade social;12216;pessoas
4.1.2;Agricultura, pecuária, produção florestal, pesca e aquicultura;644;pessoas
4.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;1303;pessoas
4.1.4;Alojamento e alimentação;5612;pessoas
4.1.5;Artes, cultura, esporte e recreação;600;pessoas
4.1.6;Atividades administrativas e serviços complementares;8730;pessoas
4.1.7;Atividades financeiras, de seguros e serviços relacionados;1456;pessoas
4.1.8;Atividades imobiliárias;247;pessoas
4.1.9;Atividades profissionais, científicas e técnicas;2879;pessoas
4.1.10;Comércio; reparação de veículos automotores e motocicletas;21477;pessoas
4.1.11;Construção;4092;pessoas
4.1.12;Educação;8407;pessoas
4.1.13;Eletricidade e gás;438;pessoas
4.1.14;Indústrias de transformação;5838;pessoas
4.1.15;Indústrias extrativas;151;pessoas
4.1.16;Informação e comunicação;1835;pessoas
4.1.17;Organismos internacionais e outras instituições extraterritoriais;;pessoas
4.1.18;Outras atividades de serviços;1326;pessoas
4.1.19;Saúde humana e serviços sociais;12586;pessoas
4.1.20;Transporte, armazenagem e correio;3529;pessoas
5;Salário médio mensal;2.2;salários mínimos
5.1;Classificação Nacional de Atividades Econômicas - CNAE;;
5.1.1;Administração pública, defesa e seguridade social;;salários mínimos
5.1.2;Agricultura, pecuária, produção florestal, pesca e aquicultura;;salários mínimos
5.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;;salários mínimos
5.1.4;Alojamento e alimentação;;salários mínimos
5.1.5;Artes, cultura, esporte e recreação;;salários mínimos
5.1.6;Atividades administrativas e serviços complementares;;salários mínimos
5.1.7;Atividades financeiras, de seguros e serviços relacionados;;salários mínimos
5.1.8;Atividades imobiliárias;;salários mínimos
5.1.9;Atividades profissionais, científicas e técnicas;;salários mínimos
5.1.10;Comércio; reparação de veículos automotores e motocicletas;;salários mínimos
5.1.11;Construção;;salários mínimos
5.1.12;Educação;;salários mínimos
5.1.13;Eletricidade e gás;;salários mínimos
5.1.14;Indústrias de transformação;;salários mínimos
5.1.15;Indústrias extrativas;;salários mínimos
5.1.16;Informação e comunicação;;salários mínimos
5.1.17;Organismos internacionais e outras instituições extraterritoriais;;salários mínimos
5.1.18;Outras atividades de serviços;;salários mínimos
5.1.19;Saúde humana e serviços sociais;;salários mínimos
5.1.20;Transporte, armazenagem e correio;;salários mínimos
6;Salários e outras remunerações;3739656;R$
6.1;Classificação Nacional de Atividades Econômicas - CNAE;;
6.1.1;Administração pública, defesa e seguridade social;710043;R$
6.1.2;Agricultura, pecuária, produção florestal, pesca e aquicultura;20129;R$
6.1.3;Água, esgoto, atividades de gestão de resíduos e descontaminação;65776;R$
6.1.4;Alojamento e alimentação;156725;R$
6.1.5;Artes, cultura, esporte e recreação;11313;R$
6.1.6;Atividades administrativas e serviços complementares;201331;R$
6.1.7;Atividades financeiras, de seguros e serviços relacionados;116686;R$
6.1.8;Atividades imobiliárias;4452;R$
6.1.9;Atividades profissionais, científicas e técnicas;115408;R$
6.1.10;Comércio; reparação de veículos automotores e motocicletas;599381;R$
6.1.11;Construção;117486;R$
6.1.12;Educação;599090;R$
6.1.13;Eletricidade e gás;24040;R$
6.1.14;Indústrias de transformação;186649;R$
6.1.15;Indústrias extrativas;5353;R$
6.1.16;Informação e comunicação;62002;R$
6.1.17;Organismos internacionais e outras instituições extraterritoriais;;R$
6.1.18;Outras atividades de serviços;37866;R$
6.1.19;Saúde humana e serviços sociais;593890;R$
6.1.20;Transporte, armazenagem e correio;112037;R$



Fonte: IBGE, Cadastro Central de Empresas 2024. Rio de Janeiro: IBGE, 2026
