D.SDA.PDA.005.CAT.202101.csv: S24A 105240 linhas, malformadas=0
D.SDA.PDA.005.CAT.202104.csv: S24A 118043 linhas, malformadas=0
D.SDA.PDA.005.CAT.202107.csv: S24A 117304 linhas, malformadas=0
D.SDA.PDA.005.CAT.202110.csv: S24A 95615 linhas, malformadas=0
D.SDA.PDA.005.CAT.202201.csv: S24A 152140 linhas, malformadas=0
D.SDA.PDA.005.CAT.202204.csv: S24A 89602 linhas, malformadas=0
D.SDA.PDA.005.CAT.202207.csv: S24A 173344 linhas, malformadas=0
D.SDA.PDA.005.CAT.202208.csv: S24A 123442 linhas, malformadas=0
D.SDA.PDA.005.CAT.202209.csv: S24A 70245 linhas, malformadas=0
D.SDA.PDA.005.CAT.202210.csv: S24A 26023 linhas, malformadas=0
D.SDA.PDA.005.CAT.202211.csv: S24A 5112 linhas, malformadas=0
D.SDA.PDA.005.CAT.202212.csv: S24A 25461 linhas, malformadas=0
D.SDA.PDA.005.CAT.202301.csv: S24A 20645 linhas, malformadas=0
D.SDA.PDA.005.CAT.202302.csv: S24A 46141 linhas, malformadas=0
D.SDA.PDA.005.CAT.202303.csv: S24A 53347 linhas, malformadas=0
D.SDA.PDA.005.CAT.202304.csv: S24A 46999 linhas, malformadas=0
D.SDA.PDA.005.CAT.202305.csv: S24A 57499 linhas, malformadas=0
D.SDA.PDA.005.CAT.202306.csv: S24B 52831 linhas, malformadas=0
D.SDA.PDA.005.CAT.202307.csv: S24B 56281 linhas, malformadas=0
D.SDA.PDA.005.CAT.202308.csv: S24B 59606 linhas, malformadas=0
D.SDA.PDA.005.CAT.202309.csv: S24B 57024 linhas, malformadas=0
D.SDA.PDA.005.CAT.202310.csv: S24B 57455 linhas, malformadas=0
D.SDA.PDA.005.CAT.202311.csv: S27 49952 linhas, malformadas=0
D.SDA.PDA.005.CAT.202312.csv: S27 46045 linhas, malformadas=0
D.SDA.PDA.005.CAT.202401.csv: S27 44261 linhas, malformadas=0
D.SDA.PDA.005.CAT.202402.csv: S27 52394 linhas, malformadas=0
D.SDA.PDA.005.CAT.202403.csv: S27 55226 linhas, malformadas=0
D.SDA.PDA.005.CAT.202404.csv: S27 118987 linhas, malformadas=0
D.SDA.PDA.005.CAT.202405.csv: S27 57990 linhas, malformadas=0
D.SDA.PDA.005.CAT.202406.csv: S27 52023 linhas, malformadas=0
D.SDA.PDA.005.CAT.202407.csv: S27 63969 linhas, malformadas=0
D.SDA.PDA.005.CAT.202408.csv: S27 36464 linhas, malformadas=0
D.SDA.PDA.005.CAT.202409.csv: S27 3379 linhas, malformadas=0
D.SDA.PDA.005.CAT.202410.csv: S27 7459 linhas, malformadas=0
D.SDA.PDA.005.CAT.202411.csv: S27 8088 linhas, malformadas=0
D.SDA.PDA.005.CAT.202412.csv: S27 9731 linhas, malformadas=0
D.SDA.PDA.005.CAT.202501.csv: S27 7276 linhas, malformadas=0
D.SDA.PDA.005.CAT.202502.csv: S27 8913 linhas, malformadas=0
D.SDA.PDA.005.CAT.202503.csv: S27 16825 linhas, malformadas=0
D.SDA.PDA.005.CAT.202504.csv: S27 18271 linhas, malformadas=0
D.SDA.PDA.005.CAT.202505.csv: S27 20562 linhas, malformadas=0
D.SDA.PDA.005.CAT.202506.csv: S27 214745 linhas, malformadas=0
D.SDA.PDA.005.CAT.202507.csv: S27 66528 linhas, malformadas=0
D.SDA.PDA.005.CAT.202508.csv: S27 72885 linhas, malformadas=0
D.SDA.PDA.005.CAT.202509.csv: S27 71483 linhas, malformadas=0
D.SDA.PDA.005.CAT.202510.csv: S27 81904 linhas, malformadas=0
D.SDA.PDA.005.CAT.202511.csv: S27 205 linhas, malformadas=0
D.SDA.PDA.005.CAT.202512.csv: S27 126 linhas, malformadas=0
cat-comp-outnovdez-2018.csv: S25 119218 linhas, malformadas=0
cat-comp01-02-03-2020.csv: S25 81264 linhas, malformadas=0
cat-comp04-05-06-2019.csv: S25 122831 linhas, malformadas=0
cat-comp07-08-09-2019.csv: S25 127546 linhas, malformadas=0
cat-comp10-11-12-2019.csv: S25 113433 linhas, malformadas=0
cat-comp10-11-12-2020.csv: S25 116945 linhas, malformadas=0
cat-competencia-04-05-06-2020.csv: S25 75743 linhas, malformadas=0
cat-competencia-07-08-09-2020.csv: S25 117439 linhas, malformadas=0
cat-jul-ago-set-2018.csv: S25 122598 linhas, malformadas=0
cat2018-comp01-02-03-2019.csv: S25 110798 linhas, malformadas=0

Total linhas lidas: 3902905 | candidatos 'campos/330100': 15932 | hashes duplicados (subset candidatos): 1709
