cbo_codigo;cbo_titulo_oficial;categoria_profissional;n
322205;Técnico de enfermagem;Enfermagem – técnicos e auxiliares;737
223505;Enfermeiro;Enfermagem – enfermeiros;151
322230;Auxiliar de enfermagem;Enfermagem – técnicos e auxiliares;63
324205;Técnico em patologia clínica;Diagnóstico e laboratório – técnicos e auxiliares;49
223605;Fisioterapeuta geral;Fisioterapia;30
515215;Auxiliar de laboratório de análises clínicas;Diagnóstico e laboratório – técnicos e auxiliares;18
515105;Agente comunitário de saúde;Agentes comunitários de saúde e afins;10
223405;Farmacêutico;Farmácia;9
223710;Nutricionista;Nutrição;7
325115;Técnico em farmácia;Farmácia – técnicos e auxiliares;7
325105;Auxiliar técnico em laboratório de farmácia;Farmácia – técnicos e auxiliares;6
324115;Técnico em radiologia e imagenologia;Diagnóstico e laboratório – técnicos e auxiliares;6
515210;Auxiliar de farmácia de manipulação;Farmácia – técnicos e auxiliares;5
223510;Enfermeiro auditor;Enfermagem – enfermeiros;4
515110;Atendente de enfermagem;Agentes comunitários de saúde e afins;4
223530;Enfermeiro do trabalho;Enfermagem – enfermeiros;3
515205;Auxiliar de banco de sangue;Diagnóstico e laboratório – técnicos e auxiliares;3
223545;Enfermeiro obstétrico;Enfermagem – enfermeiros;3
322215;Técnico de enfermagem do trabalho;Enfermagem – técnicos e auxiliares;2
223525;Enfermeiro de terapia intensiva;Enfermagem – enfermeiros;2
223208;Cirurgião dentista - clínico geral;Odontologia e saúde bucal;2
223810;Fonoaudiólogo geral;Fonoaudiologia;2
225125;Médico clínico;Medicina;2
325110;Técnico em laboratório de farmácia;Farmácia – técnicos e auxiliares;2
322415;Auxiliar em saúde bucal;Odontologia e saúde bucal;2
223445;Farmacêutico hospitalar e clínico;Farmácia;1
225124;Médico pediatra;Medicina;1
225250;Médico ginecologista e obstetra;Medicina;1
324215;Citotécnico;Diagnóstico e laboratório – técnicos e auxiliares;1
322210;Técnico de enfermagem de terapia intensiva;Enfermagem – técnicos e auxiliares;1
322225;Instrumentador cirúrgico;Instrumentação cirúrgica;1
