cbo_codigo;cbo_titulo_oficial;categoria_profissional;n
322205;Técnico de enfermagem;Enfermagem – técnicos e auxiliares;737
223505;Enfermeiro;Enfermagem – enfermeiros;151
322230;Auxiliar de enfermagem;Enfermagem – técnicos e auxiliares;63
324205;Técnico em patologia clínica;Diagnóstico e laboratório – técnicos e auxiliares;49
223605;Fisioterapeuta geral;Fisioterapia;30
515215;Auxiliar de laboratório de análises clínicas;Diagnóstico e laboratório – técnicos e auxiliares;18
515105;Agente comunitário de saúde;Agentes comunitários de saúde e afins;10
223405;Farmacêutico;Farmácia;9
223710;Nutricionista;Nutrição;7
325115;Técnico em farmácia;Farmácia – técnicos e auxiliares;7
325105;Auxiliar técnico em laboratório de farmácia;Farmácia – técnicos e auxiliares;6
324115;Técnico em radiologia e imagenologia;Diagnóstico e laboratório – técnicos e auxiliares;6
515210;Auxiliar de farmácia de manipulação;Farmácia – técnicos e auxiliares;5
(agregado);Ocupações com n<5 (18 códigos);—;37
