cnae;n;pct
8610 Atividades de Atendi;609;53.2
8610 Atividades de Atendimento Hospitalar;270;23.6
8690 Atividades de Atenca;47;4.1
8630 Atividades de Atencao Ambulatorial Executadas;42;3.7
8640 Atividades de Servic;39;3.4
8630 Atividades de Atenca;20;1.7
8650 Atividades de Profis;19;1.7
8640 Atividades de Servicos de Complementacao Diag;17;1.5
9430 Atividades de Associ;13;1.1
6550 Planos de Saude;11;1.0
8690 Atividades de Atencao a Saude Humana nao Espe;10;0.9
8650 Atividades de Profissionais da Area de Saude,;9;0.8
