cbo_codigo;cbo_titulo_oficial;n
514225;Trabalhador de serviços de limpeza e conservação de áreas públicas;73
422105;Recepcionista, em geral;48
411010;Assistente administrativo;32
411005;Auxiliar de escritório;27
514320;Faxineiro;26
513430;Copeiro de hospital;19
413115;Auxiliar de faturamento;13
715210;Pedreiro;12
516345;Auxiliar de lavanderia;11
414105;Almoxarife;11
514325;Trabalhador da manutenção de edificações;11
513220;Cozinheiro de hospital;10
521130;Atendente de farmácia - balconista;8
413110;Auxiliar de contabilidade;7
715615;Eletricista de instalações;6
131210;Gerente de serviços de saúde;6
514230;Coletor de resíduos sólidos de serviços de saúde;6
422110;Recepcionista de consultório médico ou dentário;6
717020;Servente de obras;5
715505;Carpinteiro;5
252105;Administrador;4
513205;Cozinheiro geral;4
513315;Camareiro  de hotel;4
212420;Analista de suporte computacional;4
782320;Condutor de ambulância;3
