"ano","categoria_estudo","n_profissionais"
2018,"Agentes comunitários de saúde e afins",673
2019,"Agentes comunitários de saúde e afins",726
2020,"Agentes comunitários de saúde e afins",671
2021,"Agentes comunitários de saúde e afins",705
2022,"Agentes comunitários de saúde e afins",669
2023,"Agentes comunitários de saúde e afins",652
2024,"Agentes comunitários de saúde e afins",592
2025,"Agentes comunitários de saúde e afins",545
2018,"Biologia",47
2019,"Biologia",47
2020,"Biologia",57
2021,"Biologia",66
2022,"Biologia",69
2023,"Biologia",71
2024,"Biologia",72
2025,"Biologia",76
2018,"Biomedicina",1
2019,"Biomedicina",1
2020,"Biomedicina",2
2021,"Biomedicina",2
2022,"Biomedicina",2
2023,"Biomedicina",1
2024,"Biomedicina",2
2025,"Biomedicina",4
2018,"Diagnóstico e laboratório – técnicos e auxiliares",485
2019,"Diagnóstico e laboratório – técnicos e auxiliares",528
2020,"Diagnóstico e laboratório – técnicos e auxiliares",534
2021,"Diagnóstico e laboratório – técnicos e auxiliares",557
2022,"Diagnóstico e laboratório – técnicos e auxiliares",554
2023,"Diagnóstico e laboratório – técnicos e auxiliares",545
2024,"Diagnóstico e laboratório – técnicos e auxiliares",608
2025,"Diagnóstico e laboratório – técnicos e auxiliares",623
2018,"Educação física",6
2019,"Educação física",8
2020,"Educação física",9
2021,"Educação física",10
2022,"Educação física",11
2023,"Educação física",11
2024,"Educação física",12
2025,"Educação física",16
2018,"Enfermagem – enfermeiros",909
2019,"Enfermagem – enfermeiros",944
2020,"Enfermagem – enfermeiros",972
2021,"Enfermagem – enfermeiros",966
2022,"Enfermagem – enfermeiros",1006
2023,"Enfermagem – enfermeiros",1229
2024,"Enfermagem – enfermeiros",1345
2025,"Enfermagem – enfermeiros",1326
2018,"Enfermagem – técnicos e auxiliares",3457
2019,"Enfermagem – técnicos e auxiliares",3457
2020,"Enfermagem – técnicos e auxiliares",3961
2021,"Enfermagem – técnicos e auxiliares",3879
2022,"Enfermagem – técnicos e auxiliares",3920
2023,"Enfermagem – técnicos e auxiliares",4311
2024,"Enfermagem – técnicos e auxiliares",4710
2025,"Enfermagem – técnicos e auxiliares",4593
2018,"Farmácia",161
2019,"Farmácia",167
2020,"Farmácia",178
2021,"Farmácia",189
2022,"Farmácia",199
2023,"Farmácia",216
2024,"Farmácia",218
2025,"Farmácia",232
2018,"Farmácia – técnicos e auxiliares",121
2019,"Farmácia – técnicos e auxiliares",133
2020,"Farmácia – técnicos e auxiliares",134
2021,"Farmácia – técnicos e auxiliares",138
2022,"Farmácia – técnicos e auxiliares",149
2023,"Farmácia – técnicos e auxiliares",154
2024,"Farmácia – técnicos e auxiliares",193
2025,"Farmácia – técnicos e auxiliares",210
2018,"Fisioterapia",512
2019,"Fisioterapia",550
2020,"Fisioterapia",593
2021,"Fisioterapia",598
2022,"Fisioterapia",624
2023,"Fisioterapia",671
2024,"Fisioterapia",737
2025,"Fisioterapia",770
2018,"Fonoaudiologia",102
2019,"Fonoaudiologia",104
2020,"Fonoaudiologia",125
2021,"Fonoaudiologia",131
2022,"Fonoaudiologia",135
2023,"Fonoaudiologia",146
2024,"Fonoaudiologia",153
2025,"Fonoaudiologia",163
2018,"Instrumentação cirúrgica",11
2019,"Instrumentação cirúrgica",9
2020,"Instrumentação cirúrgica",9
2021,"Instrumentação cirúrgica",9
2022,"Instrumentação cirúrgica",6
2023,"Instrumentação cirúrgica",8
2024,"Instrumentação cirúrgica",10
2025,"Instrumentação cirúrgica",8
2018,"Medicina",3956
2019,"Medicina",4129
2020,"Medicina",4185
2021,"Medicina",4244
2022,"Medicina",4409
2023,"Medicina",4458
2024,"Medicina",4588
2025,"Medicina",4837
2018,"Nutrição",96
2019,"Nutrição",120
2020,"Nutrição",122
2021,"Nutrição",124
2022,"Nutrição",133
2023,"Nutrição",155
2024,"Nutrição",180
2025,"Nutrição",189
2018,"Odontologia e saúde bucal",1047
2019,"Odontologia e saúde bucal",1064
2020,"Odontologia e saúde bucal",1068
2021,"Odontologia e saúde bucal",1059
2022,"Odontologia e saúde bucal",1073
2023,"Odontologia e saúde bucal",1069
2024,"Odontologia e saúde bucal",1083
2025,"Odontologia e saúde bucal",1068
2018,"Psicologia",232
2019,"Psicologia",258
2020,"Psicologia",268
2021,"Psicologia",290
2022,"Psicologia",301
2023,"Psicologia",339
2024,"Psicologia",373
2025,"Psicologia",422
2018,"Serviço social",205
2019,"Serviço social",214
2020,"Serviço social",216
2021,"Serviço social",222
2022,"Serviço social",241
2023,"Serviço social",243
2024,"Serviço social",249
2025,"Serviço social",237
