categoria;ano;cat_n;rais_n;razao_por_1000;cobertura_cat;advertencia
Agentes comunitários de saúde e afins;2018;1;601;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Agentes comunitários de saúde e afins;2019;1;610;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Agentes comunitários de saúde e afins;2020;2;620;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Agentes comunitários de saúde e afins;2021;1;640;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Agentes comunitários de saúde e afins;2022;1;660;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Agentes comunitários de saúde e afins;2023;6;473;12.7;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Biomedicina;2018;0;3;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Biomedicina;2019;0;3;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Biomedicina;2020;0;3;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Biomedicina;2021;0;3;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Biomedicina;2022;0;4;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Biomedicina;2023;0;4;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Diagnóstico e laboratório – técnicos e auxiliares;2018;3;827;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Diagnóstico e laboratório – técnicos e auxiliares;2019;12;850;14.1;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Diagnóstico e laboratório – técnicos e auxiliares;2020;10;880;11.4;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Diagnóstico e laboratório – técnicos e auxiliares;2021;11;900;12.2;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Diagnóstico e laboratório – técnicos e auxiliares;2022;5;920;5.4;parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Diagnóstico e laboratório – técnicos e auxiliares;2023;13;602;21.6;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – enfermeiros;2018;10;1533;6.5;parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – enfermeiros;2019;22;1600;13.8;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – enfermeiros;2020;16;1650;9.7;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – enfermeiros;2021;27;1700;15.9;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – enfermeiros;2022;19;1750;10.9;parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – enfermeiros;2023;23;1031;22.3;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – técnicos e auxiliares;2018;78;2993;26.1;parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – técnicos e auxiliares;2019;113;3200;35.3;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – técnicos e auxiliares;2020;99;3400;29.1;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – técnicos e auxiliares;2021;142;3500;40.6;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – técnicos e auxiliares;2022;57;3800;15.0;parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Enfermagem – técnicos e auxiliares;2023;122;4115;29.6;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia;2018;0;688;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia;2019;4;700;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia;2020;0;720;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia;2021;1;740;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia;2022;1;760;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia;2023;2;503;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia – técnicos e auxiliares;2018;0;236;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia – técnicos e auxiliares;2019;0;250;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia – técnicos e auxiliares;2020;3;260;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia – técnicos e auxiliares;2021;4;280;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia – técnicos e auxiliares;2022;0;300;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Farmácia – técnicos e auxiliares;2023;5;220;22.7;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fisioterapia;2018;3;526;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fisioterapia;2019;3;540;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fisioterapia;2020;4;560;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fisioterapia;2021;7;580;12.1;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fisioterapia;2022;1;600;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fisioterapia;2023;6;438;13.7;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fonoaudiologia;2018;0;88;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fonoaudiologia;2019;0;90;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fonoaudiologia;2020;0;90;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fonoaudiologia;2021;0;95;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fonoaudiologia;2022;0;98;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Fonoaudiologia;2023;1;71;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Instrumentação cirúrgica;2018;0;11;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Instrumentação cirúrgica;2019;0;12;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Instrumentação cirúrgica;2020;0;12;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Instrumentação cirúrgica;2021;1;13;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Instrumentação cirúrgica;2022;0;14;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Instrumentação cirúrgica;2023;0;15;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Medicina;2018;4;1416;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Medicina;2019;5;1450;3.4;integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Medicina;2020;1;1500;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Medicina;2021;0;1550;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Medicina;2022;0;1580;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Medicina;2023;0;1156;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Nutrição;2018;0;278;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Nutrição;2019;2;285;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Nutrição;2020;0;290;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Nutrição;2021;2;300;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Nutrição;2022;0;310;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Nutrição;2023;0;199;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Odontologia e saúde bucal;2018;0;737;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Odontologia e saúde bucal;2019;0;750;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Odontologia e saúde bucal;2020;0;780;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Odontologia e saúde bucal;2021;3;800;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Odontologia e saúde bucal;2022;0;820;supresso (num<5 ou den<30);parcial*;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
Odontologia e saúde bucal;2023;0;649;supresso (num<5 ou den<30);integral;NUMERADOR E DENOMINADOR COMENSURAVEIS (CAT e RAIS = celetistas)
