antecedents_str;consequents_str;support;confidence;lift;leverage;conviction
AGENTE=Ferramenta manual;CID=Ferimento punho/mão (S61), NATUREZA=Lesao Imediata, Nic, OCUP=Enfermagem (nível técnico);0.0481;0.3571;6.2857;0.0404;1.4672
CID=Ferimento punho/mão (S61), NATUREZA=Lesao Imediata, Nic, OCUP=Enfermagem (nível técnico);AGENTE=Ferramenta manual;0.0481;0.8462;6.2857;0.0404;5.625
AGENTE=Ferramenta manual;CID=Ferimento punho/mão (S61), NATUREZA=Lesao Imediata, Nic;0.0551;0.4091;6.0;0.0459;1.5769
CID=Ferimento punho/mão (S61), NATUREZA=Lesao Imediata, Nic;AGENTE=Ferramenta manual;0.0551;0.8077;6.0;0.0459;4.5
AGENTE=Ferramenta manual;CID=Ferimento punho/mão (S61), NATUREZA=Lesao Imediata, Nic, TIPO=Típico;0.0542;0.4026;5.9814;0.0451;1.5612
CID=Ferimento punho/mão (S61), NATUREZA=Lesao Imediata, Nic, TIPO=Típico;AGENTE=Ferramenta manual;0.0542;0.8052;5.9814;0.0451;4.4423
CID=Ferimento punho/mão (S61), NATUREZA=Lesao Imediata, Nic;AGENTE=Ferramenta manual, OCUP=Enfermagem (nível técnico);0.0481;0.7051;5.9753;0.04;2.9911
AGENTE=Ferramenta manual, OCUP=Enfermagem (nível técnico);CID=Ferimento punho/mão (S61), NATUREZA=Lesao Imediata, Nic;0.0481;0.4074;5.9753;0.04;1.5724
AGENTE=Ferramenta manual, TIPO=Típico;CID=Ferimento punho/mão (S61), NATUREZA=Lesao Imediata, Nic;0.0542;0.4052;5.9434;0.0451;1.5667
CID=Ferimento punho/mão (S61), NATUREZA=Lesao Imediata, Nic;AGENTE=Ferramenta manual, TIPO=Típico;0.0542;0.7949;5.9434;0.0451;4.223
TIPO=Trajeto;AGENTE=Veículo/transporte, OCUP=Enfermagem (nível técnico);0.0638;0.3724;5.6063;0.0524;1.4876
AGENTE=Veículo/transporte, OCUP=Enfermagem (nível técnico);TIPO=Trajeto;0.0638;0.9605;5.6063;0.0524;20.993
OCUP=Enfermagem (nível técnico), TIPO=Trajeto;AGENTE=Veículo/transporte;0.0638;0.4771;5.5697;0.0524;1.7487
AGENTE=Veículo/transporte;OCUP=Enfermagem (nível técnico), TIPO=Trajeto;0.0638;0.7449;5.5697;0.0524;3.3957
TIPO=Trajeto;AGENTE=Veículo/transporte;0.0804;0.4694;5.4794;0.0657;1.7232
AGENTE=Veículo/transporte;TIPO=Trajeto;0.0804;0.9388;5.4794;0.0657;13.535
NATUREZA=Fratura;TIPO=Trajeto;0.0358;0.7593;4.4316;0.0278;3.4422
AGENTE=Agente biológico/infeccioso, NATUREZA=Lesao Imediata, Nic;CID=Exposição doenças transmissíveis (Z20), TIPO=Típico;0.0472;0.8308;3.9111;0.0351;4.6539
AGENTE=Ferramenta manual, NATUREZA=Lesao Imediata, Nic;CID=Ferimento punho/mão (S61), OCUP=Enfermagem (nível técnico);0.0481;0.7534;3.8825;0.0357;3.2686
AGENTE=Ferramenta manual, CID=Ferimento punho/mão (S61);NATUREZA=Lesao Imediata, Nic, OCUP=Enfermagem (nível técnico);0.0481;0.5978;3.8639;0.0356;2.1018
NATUREZA=Lesao Imediata, Nic, OCUP=Enfermagem (nível técnico);AGENTE=Ferramenta manual, CID=Ferimento punho/mão (S61);0.0481;0.3107;3.8639;0.0356;1.3341
AGENTE=Agente biológico/infeccioso, NATUREZA=Lesao Imediata, Nic, OCUP=Enfermagem (nível técnico);CID=Exposição doenças transmissíveis (Z20);0.0376;0.8431;3.8582;0.0278;4.9819
AGENTE=Agente biológico/infeccioso, NATUREZA=Lesao Imediata, Nic;CID=Exposição doenças transmissíveis (Z20);0.0472;0.8308;3.8016;0.0348;4.6178
AGENTE=Agente biológico/infeccioso, NATUREZA=Lesao Imediata, Nic, TIPO=Típico;CID=Exposição doenças transmissíveis (Z20);0.0472;0.8308;3.8016;0.0348;4.6178
AGENTE=Ferramenta manual, CID=Ferimento punho/mão (S61);NATUREZA=Lesao Imediata, Nic, TIPO=Típico;0.0542;0.6739;3.7978;0.0399;2.5225
NATUREZA=Lesao Imediata, Nic, TIPO=Típico;AGENTE=Ferramenta manual, CID=Ferimento punho/mão (S61);0.0542;0.3054;3.7978;0.0399;1.3239
AGENTE=Agente biológico/infeccioso, NATUREZA=Lesao Imediata, Nic;CID=Exposição doenças transmissíveis (Z20), OCUP=Enfermagem (nível técnico);0.0376;0.6615;3.6211;0.0272;2.4148
AGENTE=Ferramenta manual, CID=Ferimento punho/mão (S61);NATUREZA=Lesao Imediata, Nic;0.0551;0.6848;3.5935;0.0397;2.5679
AGENTE=Ferramenta manual, CID=Ferimento punho/mão (S61), TIPO=Típico;NATUREZA=Lesao Imediata, Nic;0.0542;0.6813;3.5754;0.039;2.54
AGENTE=Ferramenta manual, CID=Ferimento punho/mão (S61), OCUP=Enfermagem (nível técnico);NATUREZA=Lesao Imediata, Nic;0.0481;0.679;3.5633;0.0346;2.5217
