nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,grupo_de_idade_codigo,grupo_de_idade,sexo_codigo,sexo
6,Município,45,Pessoas,363,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,95253,Total,6794,Total
6,Município,45,Pessoas,155,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,95253,Total,4,Homens
6,Município,45,Pessoas,208,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,95253,Total,5,Mulheres
6,Município,45,Pessoas,8,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1140,0 a 4 anos,6794,Total
6,Município,45,Pessoas,6,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1140,0 a 4 anos,4,Homens
6,Município,45,Pessoas,2,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1140,0 a 4 anos,5,Mulheres
6,Município,45,Pessoas,12,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1141,5 a 9 anos,6794,Total
6,Município,45,Pessoas,6,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1141,5 a 9 anos,4,Homens
6,Município,45,Pessoas,6,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1141,5 a 9 anos,5,Mulheres
6,Município,45,Pessoas,12,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1142,10 a 14 anos,6794,Total
6,Município,45,Pessoas,6,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1142,10 a 14 anos,4,Homens
6,Município,45,Pessoas,6,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1142,10 a 14 anos,5,Mulheres
6,Município,45,Pessoas,16,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1143,15 a 19 anos,6794,Total
6,Município,45,Pessoas,10,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1143,15 a 19 anos,4,Homens
6,Município,45,Pessoas,6,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1143,15 a 19 anos,5,Mulheres
6,Município,45,Pessoas,31,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1144,20 a 24 anos,6794,Total
6,Município,45,Pessoas,14,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1144,20 a 24 anos,4,Homens
6,Município,45,Pessoas,17,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1144,20 a 24 anos,5,Mulheres
6,Município,45,Pessoas,24,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1145,25 a 29 anos,6794,Total
6,Município,45,Pessoas,7,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1145,25 a 29 anos,4,Homens
6,Município,45,Pessoas,17,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1145,25 a 29 anos,5,Mulheres
6,Município,45,Pessoas,25,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1146,30 a 34 anos,6794,Total
6,Município,45,Pessoas,14,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1146,30 a 34 anos,4,Homens
6,Município,45,Pessoas,11,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1146,30 a 34 anos,5,Mulheres
6,Município,45,Pessoas,41,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1147,35 a 39 anos,6794,Total
6,Município,45,Pessoas,20,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1147,35 a 39 anos,4,Homens
6,Município,45,Pessoas,21,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1147,35 a 39 anos,5,Mulheres
6,Município,45,Pessoas,31,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1148,40 a 44 anos,6794,Total
6,Município,45,Pessoas,13,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1148,40 a 44 anos,4,Homens
6,Município,45,Pessoas,18,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1148,40 a 44 anos,5,Mulheres
6,Município,45,Pessoas,35,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1149,45 a 49 anos,6794,Total
6,Município,45,Pessoas,16,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1149,45 a 49 anos,4,Homens
6,Município,45,Pessoas,19,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1149,45 a 49 anos,5,Mulheres
6,Município,45,Pessoas,31,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1150,50 a 54 anos,6794,Total
6,Município,45,Pessoas,13,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1150,50 a 54 anos,4,Homens
6,Município,45,Pessoas,18,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1150,50 a 54 anos,5,Mulheres
6,Município,45,Pessoas,16,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1151,55 a 59 anos,6794,Total
6,Município,45,Pessoas,4,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1151,55 a 59 anos,4,Homens
6,Município,45,Pessoas,12,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1151,55 a 59 anos,5,Mulheres
6,Município,45,Pessoas,24,3301009,Campos dos Goytacazes (RJ),2022,2022,350,Pessoas indígenas,1152,60 a 64 anos,6794,Total
