nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,cor_ou_raca_codigo,cor_ou_raca,sexo_codigo,sexo,idade_codigo,idade
6,Município,45,Pessoas,483540,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,100362,Total
6,Município,45,Pessoas,30196,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93070,0 a 4 anos
6,Município,45,Pessoas,5560,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6557,Menos de 1 ano
6,Município,45,Pessoas,405,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93071,Menos de 1 mês
6,Município,45,Pessoas,433,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93072,1 mês
6,Município,45,Pessoas,452,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93073,2 meses
6,Município,45,Pessoas,481,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93074,3 meses
6,Município,45,Pessoas,466,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93075,4 meses
6,Município,45,Pessoas,458,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93076,5 meses
6,Município,45,Pessoas,484,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93077,6 meses
6,Município,45,Pessoas,496,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93078,7 meses
6,Município,45,Pessoas,499,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93079,8 meses
6,Município,45,Pessoas,495,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93080,9 meses
6,Município,45,Pessoas,436,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93081,10 meses
6,Município,45,Pessoas,455,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93082,11 meses
6,Município,45,Pessoas,5474,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6558,1 ano
6,Município,45,Pessoas,6093,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6559,2 anos
6,Município,45,Pessoas,6496,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6560,3 anos
6,Município,45,Pessoas,6573,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6561,4 anos
6,Município,45,Pessoas,33762,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93084,5 a 9 anos
6,Município,45,Pessoas,6512,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6562,5 anos
6,Município,45,Pessoas,6809,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6563,6 anos
6,Município,45,Pessoas,7079,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6564,7 anos
6,Município,45,Pessoas,6782,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6565,8 anos
6,Município,45,Pessoas,6580,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6566,9 anos
6,Município,45,Pessoas,31149,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93085,10 a 14 anos
6,Município,45,Pessoas,6234,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6567,10 anos
6,Município,45,Pessoas,6218,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6568,11 anos
6,Município,45,Pessoas,6396,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6569,12 anos
6,Município,45,Pessoas,6128,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6570,13 anos
6,Município,45,Pessoas,6173,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6571,14 anos
6,Município,45,Pessoas,33327,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93086,15 a 19 anos
6,Município,45,Pessoas,6372,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6572,15 anos
6,Município,45,Pessoas,6649,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6573,16 anos
6,Município,45,Pessoas,6802,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6574,17 anos
6,Município,45,Pessoas,6909,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6575,18 anos
6,Município,45,Pessoas,6595,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6576,19 anos
6,Município,45,Pessoas,36775,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93087,20 a 24 anos
6,Município,45,Pessoas,7117,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6577,20 anos
6,Município,45,Pessoas,6954,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6578,21 anos
6,Município,45,Pessoas,7838,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6579,22 anos
6,Município,45,Pessoas,7600,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6580,23 anos
6,Município,45,Pessoas,7266,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6581,24 anos
6,Município,45,Pessoas,35918,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93088,25 a 29 anos
6,Município,45,Pessoas,7520,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6582,25 anos
6,Município,45,Pessoas,7023,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6656,26 anos
6,Município,45,Pessoas,7241,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6657,27 anos
6,Município,45,Pessoas,7390,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6658,28 anos
6,Município,45,Pessoas,6744,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6659,29 anos
6,Município,45,Pessoas,35982,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93089,30 a 34 anos
6,Município,45,Pessoas,7778,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6583,30 anos
6,Município,45,Pessoas,6543,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6584,31 anos
6,Município,45,Pessoas,7515,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6585,32 anos
6,Município,45,Pessoas,7189,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6586,33 anos
6,Município,45,Pessoas,6957,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6587,34 anos
6,Município,45,Pessoas,36427,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93090,35 a 39 anos
6,Município,45,Pessoas,7596,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6588,35 anos
6,Município,45,Pessoas,7170,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6589,36 anos
6,Município,45,Pessoas,6759,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6590,37 anos
6,Município,45,Pessoas,7542,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6591,38 anos
6,Município,45,Pessoas,7360,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6592,39 anos
6,Município,45,Pessoas,37270,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,93091,40 a 44 anos
6,Município,45,Pessoas,8815,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6593,40 anos
6,Município,45,Pessoas,7142,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6594,41 anos
6,Município,45,Pessoas,8132,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6595,42 anos
6,Município,45,Pessoas,6887,3301009,Campos dos Goytacazes (RJ),2022,2022,93,População residente,95251,Total,6794,Total,6596,43 anos
