nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,produto_das_lavouras_temporarias_codigo,produto_das_lavouras_temporarias
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,0,Total
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2688,Abacaxi*
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,40471,Alfafa fenada
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2689,Algodão herbáceo (em caroço)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2690,Alho
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2691,Amendoim (em casca)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2692,Arroz (em casca)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2693,Aveia (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2694,Batata-doce
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2695,Batata-inglesa
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2696,Cana-de-açúcar
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,40470,Cana para forragem
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2697,Cebola
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2698,Centeio (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2699,Cevada (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2700,Ervilha (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2701,Fava (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2702,Feijão (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2703,Fumo (em folha)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,109179,Girassol (em grão)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2704,Juta (fibra)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2705,Linho (semente)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2706,Malva (fibra)
6,Município,,,NA,3301009,Campos dos Goytacazes (RJ),1974,1974,109,Área plantada,2707,Mamona (baga)
